Demographic Data Report by State
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2015-2019 American Community Survey 5-Year Data
Sorted by Value

State, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Pickens County, South Carolina",45077,26.0,20289,"791 of 3146"
"Coles County, Illinois",17029,26.0,8555,"792 of 3146"
"Slope County, North Dakota",38087,25.9,141,"793 of 3146"
"Garfield County, Utah",49017,25.9,892,"794 of 3146"
"Yavapai County, Arizona",04025,25.9,45341,"795 of 3146"
"Kittson County, Minnesota",27069,25.9,796,"796 of 3146"
"Puerto Rico",72001,25.9,606883,"797 of 3146"
"Goshen County, Wyoming",56015,25.9,2427,"798 of 3146"
"Oconee County, South Carolina",45073,25.8,14469,"799 of 3146"
"McKenzie County, North Dakota",38053,25.8,2053,"800 of 3146"
"Griggs County, North Dakota",38039,25.8,452,"801 of 3146"
"Muscogee County, Georgia",13215,25.8,32751,"802 of 3146"
"Chelan County, Washington",53007,25.8,13370,"803 of 3146"
"Lincoln County, New Mexico",35027,25.8,3780,"804 of 3146"
"Culpeper County, Virginia",51047,25.7,8844,"805 of 3146"
"Dodge County, Minnesota",27039,25.7,3503,"806 of 3146"
"Oneida County, New York",36065,25.7,40921,"807 of 3146"
"Dickinson County, Michigan",26043,25.7,4786,"808 of 3146"
"Limestone County, Alabama",01083,25.7,16971,"809 of 3146"
"Jones County, South Dakota",46075,25.7,159,"810 of 3146"
"Cascade County, Montana",30013,25.7,14232,"811 of 3146"
"Yankton County, South Dakota",46135,25.7,4073,"812 of 3146"
"Madison County, Tennessee",47113,25.6,16678,"813 of 3146"
"Adams County, North Dakota",38001,25.6,420,"814 of 3146"
"Columbia County, Washington",53013,25.6,778,"815 of 3146"
"Republic County, Kansas",20157,25.5,871,"816 of 3146"
"Cumberland County, North Carolina",37051,25.5,52502,"817 of 3146"
"Chase County, Kansas",20017,25.5,464,"818 of 3146"
"Palo Alto County, Iowa",19147,25.5,1566,"819 of 3146"
"Colonial Heights City, Virginia",51570,25.5,3082,"820 of 3146"
"Garfield County, Nebraska",31071,25.5,374,"821 of 3146"
"Kanawha County, West Virginia",54039,25.5,33754,"821 of 3146"
"Saunders County, Nebraska",31155,25.4,3679,"823 of 3146"
"Jefferson County, Wisconsin",55055,25.4,14887,"824 of 3146"
"Kent County, Texas",48263,25.4,120,"825 of 3146"
"Marathon County, Wisconsin",55073,25.4,23791,"826 of 3146"
"Cheyenne County, Nebraska",31033,25.4,1694,"827 of 3146"
"Hill County, Montana",30041,25.4,2594,"828 of 3146"
"Burnet County, Texas",48053,25.4,8287,"829 of 3146"
"Bibb County, Georgia",13021,25.4,25373,"830 of 3146"
"Bristol City, Virginia",51520,25.4,3068,"831 of 3146"
"Treasure County, Montana",30103,25.4,132,"832 of 3146"
"Lee County, Georgia",13177,25.4,4908,"833 of 3146"
"Nemaha County, Kansas",20131,25.4,1680,"834 of 3146"
"Sweet Grass County, Montana",30097,25.4,691,"835 of 3146"
"Loup County, Nebraska",31115,25.3,117,"836 of 3146"
"Lowndes County, Georgia",13185,25.3,17240,"837 of 3146"
"Polk County, Minnesota",27119,25.3,5363,"838 of 3146"
"Boone County, Iowa",19015,25.3,4691,"839 of 3146"
"Llano County, Texas",48299,25.3,4258,"840 of 3146"
"Ketchikan Gateway Borough, Alaska",02130,25.3,2437,"841 of 3146"
"St. Charles Parish, Louisiana",22089,25.3,8895,"842 of 3146"
"Craven County, North Carolina",37049,25.3,17032,"843 of 3146"
"Taylor County, Texas",48441,25.2,21084,"844 of 3146"
"Stafford County, Kansas",20185,25.2,728,"845 of 3146"
"Yates County, New York",36123,25.2,4201,"846 of 3146"
"Kootenai County, Idaho",16055,25.2,27458,"847 of 3146"
"Hutchinson County, South Dakota",46067,25.2,1258,"848 of 3146"
"Montrose County, Colorado",08085,25.2,7487,"849 of 3146"
"Racine County, Wisconsin",55101,25.2,33606,"850 of 3146"
"Bossier Parish, Louisiana",22015,25.2,21026,"851 of 3146"
"Boyle County, Kentucky",21021,25.2,5038,"852 of 3146"
"Howard County, Missouri",29089,25.2,1648,"853 of 3146"
"Bell County, Texas",48027,25.2,53200,"854 of 3146"
"Vigo County, Indiana",18167,25.1,17408,"855 of 3146"
"Sheboygan County, Wisconsin",55117,25.1,20110,"856 of 3146"
"Delta County, Texas",48119,25.1,905,"857 of 3146"
"Scott County, Kansas",20171,25.1,809,"858 of 3146"
"Orange County, Virginia",51137,25.1,6342,"859 of 3146"
"Flagler County, Florida",12035,25.1,21038,"860 of 3146"
"Lincoln County, Washington",53043,25.1,1918,"861 of 3146"
"Elmore County, Alabama",01051,25.1,14060,"862 of 3146"
"Rowan County, Kentucky",21205,25.1,3572,"863 of 3146"
"Keya Paha County, Nebraska",31103,25.0,127,"864 of 3146"
"Alamosa County, Colorado",08003,25.0,2409,"865 of 3146"
"Decatur County, Iowa",19053,25.0,1212,"866 of 3146"
"Marion County, Kansas",20115,25.0,2054,"867 of 3146"
"DeSoto County, Mississippi",28033,25.0,29253,"868 of 3146"
"Sully County, South Dakota",46119,25.0,230,"869 of 3146"
"Stillwater County, Montana",30095,25.0,1692,"870 of 3146"
"Roberts County, Texas",48393,25.0,140,"871 of 3146"
"Jo Daviess County, Illinois",17085,25.0,4032,"872 of 3146"
"McClain County, Oklahoma",40087,25.0,6531,"873 of 3146"
"Berkeley County, South Carolina",45015,25.0,35717,"874 of 3146"
"Hamilton County, Nebraska",31081,25.0,1578,"875 of 3146"
"Becker County, Minnesota",27005,25.0,5816,"876 of 3146"
"Nelson County, North Dakota",38063,25.0,545,"877 of 3146"
"Adams County, Illinois",17001,25.0,11510,"878 of 3146"
"Clay County, Florida",12019,24.9,36062,"879 of 3146"
"Teton County, Montana",30099,24.9,1040,"880 of 3146"
"Otter Tail County, Minnesota",27111,24.9,10343,"881 of 3146"
"Lincoln County, Oregon",41041,24.9,9335,"882 of 3146"
"Berks County, Pennsylvania",42011,24.9,70615,"883 of 3146"
"Andrew County, Missouri",29003,24.9,3036,"884 of 3146"
"Shelby County, Kentucky",21211,24.9,8059,"885 of 3146"
"Lorain County, Ohio",39093,24.9,52877,"886 of 3146"
"Rogers County, Oklahoma",40131,24.9,15317,"887 of 3146"
"York County, Pennsylvania",42133,24.9,77145,"888 of 3146"
"Macomb County, Michigan",26099,24.9,152468,"889 of 3146"
"Walworth County, South Dakota",46129,24.9,954,"890 of 3146"
"Trego County, Kansas",20195,24.8,530,"891 of 3146"
"Alamance County, North Carolina",37001,24.8,27290,"892 of 3146"
"Houston County, Minnesota",27055,24.8,3309,"893 of 3146"
"Franklin County, Maine",23007,24.8,5352,"894 of 3146"
"Custer County, Oklahoma",40039,24.8,4207,"895 of 3146"
"Sullivan County, New York",36105,24.8,13152,"896 of 3146"
"Graham County, Kansas",20065,24.7,470,"897 of 3146"
"Thomas County, Nebraska",31171,24.7,117,"898 of 3146"
"Thomas County, Georgia",13275,24.7,7514,"899 of 3146"
"Beaver County, Pennsylvania",42007,24.7,29978,"900 of 3146"
"Monterey County, California",06053,24.7,68106,"901 of 3146"
"Jefferson County, Idaho",16051,24.7,4060,"902 of 3146"
"Crow Wing County, Minnesota",27035,24.7,11330,"903 of 3146"
"Tipton County, Indiana",18159,24.7,2671,"904 of 3146"
"Monroe County, Pennsylvania",42089,24.7,28742,"905 of 3146"
"Custer County, Montana",30017,24.6,2029,"906 of 3146"
"Grant County, Oklahoma",40053,24.6,739,"907 of 3146"
"Kleberg County, Texas",48273,24.6,4228,"908 of 3146"
"Niagara County, New York",36063,24.6,37080,"909 of 3146"
"Greenwood County, South Carolina",45047,24.6,11707,"910 of 3146"
"LaMoure County, North Dakota",38045,24.6,726,"911 of 3146"
"Curry County, Oregon",41015,24.6,4501,"912 of 3146"
"Kenai Peninsula Borough, Alaska",02122,24.6,9995,"913 of 3146"
"Iowa County, Wisconsin",55049,24.6,4078,"914 of 3146"
"Mariposa County, California",06043,24.6,3348,"915 of 3146"
"Coffey County, Kansas",20031,24.6,1432,"916 of 3146"
"Nacogdoches County, Texas",48347,24.5,9229,"917 of 3146"
"Union County, Oregon",41061,24.5,4301,"918 of 3146"
"Spartanburg County, South Carolina",45083,24.5,50943,"919 of 3146"
"Madison County, Iowa",19121,24.5,2691,"920 of 3146"
"Hyde County, South Dakota",46069,24.5,245,"921 of 3146"
"Garfield County, Washington",53023,24.5,396,"922 of 3146"
"Hall County, Georgia",13139,24.5,31756,"923 of 3146"
"Weber County, Utah",49057,24.5,38100,"924 of 3146"
"Rio Grande County, Colorado",08105,24.5,1873,"925 of 3146"
"Ottawa County, Kansas",20143,24.5,999,"926 of 3146"
"Clark County, Nevada",32003,24.5,364232,"927 of 3146"
"Skamania County, Washington",53059,24.5,2153,"928 of 3146"
"Tom Green County, Texas",48451,24.5,18481,"929 of 3146"
"Mendocino County, California",06045,24.4,15157,"930 of 3146"
"Kingman County, Kansas",20095,24.4,1270,"931 of 3146"
"Lee County, Mississippi",28081,24.4,13774,"932 of 3146"
"Clatsop County, Oregon",41007,24.4,6944,"933 of 3146"
"Powder River County, Montana",30075,24.4,296,"934 of 3146"
"Custer County, Idaho",16037,24.4,779,"935 of 3146"
"Ellis County, Texas",48139,24.3,27193,"936 of 3146"
"Windham County, Connecticut",09015,24.3,19805,"937 of 3146"
"Adams County, Nebraska",31001,24.3,5002,"938 of 3146"
"Williamson County, Illinois",17199,24.3,11575,"939 of 3146"
"Hamilton County, Iowa",19079,24.3,2566,"940 of 3146"
"Fremont County, Wyoming",56013,24.3,6439,"941 of 3146"
"Adams County, Colorado",08001,24.3,78690,"942 of 3146"
"McLennan County, Texas",48309,24.2,36921,"943 of 3146"
"McCracken County, Kentucky",21145,24.2,11137,"944 of 3146"
"Sawyer County, Wisconsin",55113,24.2,2958,"945 of 3146"
"Tooele County, Utah",49045,24.2,9490,"946 of 3146"
"Bowman County, North Dakota",38011,24.2,516,"947 of 3146"
"Ouachita Parish, Louisiana",22073,24.2,24489,"948 of 3146"
"Valley County, Nebraska",31175,24.2,725,"949 of 3146"
"Wrangell-Petersburg Census Area, Alaska",02280,24.2,997,"950 of 3146"
"Wabaunsee County, Kansas",20197,24.2,1143,"951 of 3146"
"Mahoning County, Ohio",39099,24.2,39614,"952 of 3146"
"Kalawao County, Hawaii",15005,24.2,15,"953 of 3146"
"Blount County, Tennessee",47009,24.2,22482,"954 of 3146"
"Rabun County, Georgia",13241,24.2,3069,"955 of 3146"
"West Feliciana Parish, Louisiana",22125,24.2,2792,"956 of 3146"
"McCook County, South Dakota",46087,24.1,879,"957 of 3146"
"Douglas County, Wisconsin",55031,24.1,7456,"958 of 3146"
"Skagway Hoonah Angoon Census Area, Alaska",02232,24.1,622,"959 of 3146"
"Mills County, Iowa",19129,24.1,2491,"960 of 3146"
"Dolores County, Colorado",08033,24.1,337,"961 of 3146"
"Sauk County, Wisconsin",55111,24.1,10724,"962 of 3146"
"Marshall County, South Dakota",46091,24.1,790,"963 of 3146"
"Louisa County, Virginia",51109,24.1,6308,"964 of 3146"
"Franklin County, Vermont",50011,24.1,8254,"965 of 3146"
"Rawlins County, Kansas",20153,24.1,444,"966 of 3146"
"Pasco County, Florida",12101,24.0,91560,"967 of 3146"
"Dewey County, Oklahoma",40043,24.0,775,"968 of 3146"
"Bottineau County, North Dakota",38009,24.0,1090,"969 of 3146"
"Davie County, North Carolina",37059,24.0,7259,"970 of 3146"
"Daniels County, Montana",30019,24.0,308,"971 of 3146"
"Lake County, Florida",12069,24.0,61408,"972 of 3146"
"Claiborne County, Mississippi",28021,24.0,1249,"973 of 3146"
"Custer County, Nebraska",31041,24.0,1804,"974 of 3146"
"Cloud County, Kansas",20029,24.0,1438,"975 of 3146"
"Menard County, Illinois",17129,24.0,2093,"976 of 3146"
"Pondera County, Montana",30073,24.0,973,"977 of 3146"
"Wayne County, Michigan",26163,23.9,282906,"978 of 3146"
"Box Elder County, Utah",49003,23.9,7630,"979 of 3146"
"Roosevelt County, New Mexico",35041,23.9,2588,"980 of 3146"
"Cecil County, Maryland",24015,23.9,16976,"981 of 3146"
"Austin County, Texas",48015,23.9,4839,"982 of 3146"
"Archer County, Texas",48009,23.9,1467,"983 of 3146"
"Camden County, Georgia",13039,23.9,8029,"984 of 3146"
"Sheridan County, Montana",30091,23.9,603,"985 of 3146"
"Grant County, Wisconsin",55043,23.8,7583,"986 of 3146"
"Bonner County, Idaho",16017,23.8,7687,"987 of 3146"
"Phillips County, Colorado",08095,23.8,667,"988 of 3146"
"St. Lawrence County, New York",36089,23.8,17061,"989 of 3146"
"Hancock County, Iowa",19081,23.8,1829,"990 of 3146"
"Macon County, North Carolina",37113,23.8,6246,"991 of 3146"
"Cuming County, Nebraska",31039,23.8,1443,"992 of 3146"
"Wilkin County, Minnesota",27167,23.8,1043,"993 of 3146"
"Rock County, Minnesota",27133,23.8,1511,"994 of 3146"
"Turner County, South Dakota",46125,23.7,1376,"995 of 3146"
"Hot Springs County, Wyoming",56017,23.7,822,"996 of 3146"
"Kent County, Delaware",10001,23.7,28030,"997 of 3146"
"Dubois County, Indiana",18037,23.7,6793,"998 of 3146"
"Baker County, Oregon",41001,23.7,2842,"999 of 3146"
"Pike County, Alabama",01109,23.7,4580,"1000 of 3146"
"Delaware County, Indiana",18035,23.7,16859,"1001 of 3146"
"Bay County, Florida",12005,23.7,30463,"1002 of 3146"
"Rush County, Kansas",20165,23.7,518,"1003 of 3146"
"Plumas County, California",06063,23.7,3432,"1004 of 3146"
"Wabasha County, Minnesota",27157,23.7,3660,"1005 of 3146"
"Volusia County, Florida",12127,23.7,94124,"1006 of 3146"
"Clay County, North Carolina",37043,23.7,1984,"1007 of 3146"
"Lincoln County, Wyoming",56023,23.7,3027,"1008 of 3146"
"Stutsman County, North Dakota",38093,23.7,3455,"1009 of 3146"
"Horry County, South Carolina",45051,23.6,58286,"1010 of 3146"
"Steuben County, New York",36101,23.6,16099,"1011 of 3146"
"Craig County, Virginia",51045,23.6,892,"1012 of 3146"
"King and Queen County, Virginia",51097,23.6,1234,"1013 of 3146"
"Jasper County, Missouri",29097,23.6,18620,"1014 of 3146"
"Florence County, South Carolina",45041,23.6,22093,"1015 of 3146"
"Sullivan County, Tennessee",47163,23.6,27030,"1016 of 3146"
"Cerro Gordo County, Iowa",19033,23.6,7217,"1017 of 3146"
"Bolivar County, Mississippi",28011,23.6,4867,"1018 of 3146"
"Green County, Wisconsin",55045,23.6,6144,"1019 of 3146"
"Osborne County, Kansas",20141,23.6,598,"1020 of 3146"
"Otsego County, Michigan",26137,23.6,4105,"1021 of 3146"
"Benton County, Minnesota",27009,23.6,6306,"1022 of 3146"
"Williams County, North Dakota",38105,23.6,5266,"1023 of 3146"
"Prince George County, Virginia",51149,23.6,6203,"1024 of 3146"
"Rock Island County, Illinois",17161,23.5,23342,"1025 of 3146"
"Caddo Parish, Louisiana",22017,23.5,39063,"1026 of 3146"
"Custer County, South Dakota",46033,23.5,1623,"1027 of 3146"
"Marion County, Oregon",41047,23.5,52627,"1028 of 3146"
"Lauderdale County, Alabama",01077,23.5,14948,"1029 of 3146"
"Phelps County, Nebraska",31137,23.5,1475,"1030 of 3146"
"Currituck County, North Carolina",37053,23.5,4411,"1031 of 3146"
"Boone County, Illinois",17007,23.5,8212,"1032 of 3146"
"Schuyler County, New York",36097,23.5,3103,"1033 of 3146"
"Charlotte County, Florida",12015,23.4,35031,"1034 of 3146"
"Lowndes County, Mississippi",28087,23.4,9215,"1034 of 3146"
"Otoe County, Nebraska",31131,23.4,2542,"1036 of 3146"
"Wibaux County, Montana",30109,23.4,182,"1037 of 3146"
"Roanoke City, Virginia",51770,23.4,16387,"1038 of 3146"
"Washakie County, Wyoming",56043,23.4,1297,"1039 of 3146"
"Madison County, Virginia",51113,23.4,2240,"1040 of 3146"
"Putnam County, Georgia",13237,23.4,3666,"1041 of 3146"
"Lycoming County, Pennsylvania",42081,23.4,18814,"1042 of 3146"
"Wayne County, Utah",49055,23.4,415,"1043 of 3146"
"Kosciusko County, Indiana",18085,23.3,12328,"1044 of 3146"
"Jackson County, Oklahoma",40065,23.3,3747,"1045 of 3146"
"El Paso County, Texas",48141,23.3,119062,"1046 of 3146"
"Banner County, Nebraska",31007,23.3,123,"1047 of 3146"
"Henry County, Illinois",17073,23.3,8054,"1048 of 3146"
"Columbia County, Wisconsin",55021,23.3,9427,"1049 of 3146"
"Miami County, Ohio",39109,23.3,17017,"1050 of 3146"
"Gloucester County, Virginia",51073,23.3,6300,"1051 of 3146"
"Anderson County, Tennessee",47001,23.3,12637,"1052 of 3146"
"Sumner County, Kansas",20191,23.3,3636,"1053 of 3146"
"Harrison County, West Virginia",54033,23.3,11238,"1054 of 3146"
"Baldwin County, Georgia",13009,23.3,6556,"1055 of 3146"
"Chemung County, New York",36015,23.3,13863,"1056 of 3146"
"Kandiyohi County, Minnesota",27067,23.3,6699,"1057 of 3146"
"Mackinac County, Michigan",26097,23.3,1949,"1058 of 3146"
"Dundy County, Nebraska",31057,23.3,303,"1059 of 3146"
"Lincoln County, Nebraska",31111,23.2,5666,"1060 of 3146"
"Geary County, Kansas",20061,23.2,4247,"1061 of 3146"
"Mobile County, Alabama",01097,23.2,64689,"1062 of 3146"
"Wagoner County, Oklahoma",40145,23.2,12431,"1063 of 3146"
"Cass County, Minnesota",27021,23.2,4947,"1064 of 3146"
"Rock County, Nebraska",31149,23.2,236,"1065 of 3146"
"Plymouth County, Iowa",19149,23.2,3899,"1066 of 3146"
"Noble County, Oklahoma",40103,23.2,1791,"1067 of 3146"
"Siskiyou County, California",06093,23.2,7343,"1068 of 3146"
"Jefferson County, Kansas",20087,23.2,3070,"1069 of 3146"
"Pierce County, Nebraska",31139,23.2,1122,"1070 of 3146"
"Erie County, Ohio",39043,23.2,12418,"1071 of 3146"
"Pickens County, Georgia",13227,23.1,5288,"1072 of 3146"
"Woodbury County, Iowa",19193,23.1,15217,"1073 of 3146"
"Russell County, Kansas",20167,23.1,1165,"1074 of 3146"
"Cochise County, Arizona",04003,23.1,20253,"1075 of 3146"
"Rooks County, Kansas",20163,23.1,828,"1076 of 3146"
"Callaway County, Missouri",29027,23.1,7081,"1077 of 3146"
"Wichita County, Texas",48485,23.1,19455,"1078 of 3146"
"Mason County, Michigan",26105,23.1,4842,"1079 of 3146"
"Ottawa County, Ohio",39123,23.1,7008,"1080 of 3146"
"Harrison County, Mississippi",28047,23.1,31213,"1081 of 3146"
"Lane County, Kansas",20101,23.1,246,"1082 of 3146"
"Itasca County, Minnesota",27061,23.1,7514,"1083 of 3146"
"Atchison County, Missouri",29005,23.1,900,"1084 of 3146"
"Fond du Lac County, Wisconsin",55039,23.1,16516,"1085 of 3146"
"Maury County, Tennessee",47119,23.0,14656,"1086 of 3146"
"Webster County, Nebraska",31181,23.0,566,"1087 of 3146"
"Rich County, Utah",49033,23.0,336,"1088 of 3146"
"Lincoln County, North Carolina",37109,23.0,13584,"1089 of 3146"
"Le Sueur County, Minnesota",27079,23.0,4447,"1090 of 3146"
"Madison County, Nebraska",31119,23.0,5270,"1091 of 3146"
"Blaine County, Nebraska",31009,23.0,83,"1092 of 3146"
"Washburn County, Wisconsin",55129,23.0,2722,"1093 of 3146"
"Indiana County, Pennsylvania",42063,23.0,12759,"1094 of 3146"
"Knox County, Ohio",39083,23.0,9280,"1095 of 3146"
"Grundy County, Illinois",17063,22.9,7756,"1096 of 3146"
"Daviess County, Kentucky",21059,22.9,15552,"1097 of 3146"
"Onslow County, North Carolina",37133,22.9,24004,"1098 of 3146"
"Pope County, Minnesota",27121,22.9,1845,"1099 of 3146"
"Nez Perce County, Idaho",16069,22.9,6419,"1100 of 3146"
"Garfield County, Oklahoma",40047,22.9,9290,"1101 of 3146"
"Lemhi County, Idaho",16059,22.9,1357,"1102 of 3146"
"Columbia County, Pennsylvania",42037,22.9,10010,"1103 of 3146"
"Scotts Bluff County, Nebraska",31157,22.9,5529,"1104 of 3146"
"Dickinson County, Kansas",20041,22.9,2985,"1105 of 3146"
"Luzerne County, Pennsylvania",42079,22.9,51948,"1106 of 3146"
"Cherry County, Nebraska",31031,22.9,926,"1107 of 3146"
"Winnebago County, Illinois",17201,22.9,44364,"1108 of 3146"
"Clinton County, New York",36019,22.9,12621,"1109 of 3146"
"Blaine County, Montana",30005,22.9,944,"1110 of 3146"
"Johnston County, North Carolina",37101,22.9,29900,"1111 of 3146"
"Dearborn County, Indiana",18029,22.9,7831,"1112 of 3146"
"Bond County, Illinois",17005,22.9,2683,"1113 of 3146"
"Baylor County, Texas",48023,22.8,579,"1114 of 3146"
"Bandera County, Texas",48019,22.8,3857,"1115 of 3146"
"Warren County, Illinois",17187,22.8,2556,"1116 of 3146"
"Washington County, Virginia",51191,22.8,9095,"1117 of 3146"
"Stark County, Ohio",39151,22.8,59233,"1118 of 3146"
"Natrona County, Wyoming",56025,22.8,12395,"1119 of 3146"
"Lincoln County, Kansas",20105,22.8,486,"1120 of 3146"
"Rice County, Kansas",20159,22.8,1421,"1121 of 3146"
"Sheridan County, Nebraska",31161,22.8,847,"1122 of 3146"
"Coffee County, Alabama",01031,22.8,8044,"1123 of 3146"
"Armstrong County, Texas",48011,22.8,319,"1124 of 3146"
"Sublette County, Wyoming",56035,22.8,1551,"1125 of 3146"
"Perry County, Alabama",01105,22.8,1340,"1126 of 3146"
"Drew County, Arkansas",05043,22.8,2656,"1127 of 3146"
"Androscoggin County, Maine",23001,22.8,17016,"1128 of 3146"
"Cimarron County, Oklahoma",40025,22.8,355,"1129 of 3146"
"Pope County, Arkansas",05115,22.8,9220,"1130 of 3146"
"Burke County, North Dakota",38013,22.8,341,"1131 of 3146"
"Mercer County, Pennsylvania",42085,22.8,17922,"1132 of 3146"
"Norton City, Virginia",51720,22.8,625,"1133 of 3146"
"Chambers County, Texas",48071,22.7,5941,"1134 of 3146"
"White County, Georgia",13311,22.7,4769,"1135 of 3146"
"Rio Blanco County, Colorado",08103,22.7,958,"1136 of 3146"
"Golden Valley County, Montana",30037,22.7,133,"1137 of 3146"
"Clay County, Iowa",19041,22.7,2585,"1138 of 3146"
"Augusta County, Virginia",51015,22.7,12526,"1139 of 3146"
"Effingham County, Illinois",17049,22.7,5312,"1140 of 3146"
"Jackson County, Georgia",13157,22.7,10408,"1141 of 3146"
"Moore County, Tennessee",47127,22.7,1041,"1142 of 3146"
"Mecosta County, Michigan",26107,22.7,6101,"1143 of 3146"
"Paulding County, Georgia",13223,22.6,23413,"1144 of 3146"
"Wayne County, New York",36117,22.6,14467,"1145 of 3146"
"Northampton County, Virginia",51131,22.6,1970,"1146 of 3146"
"Allegan County, Michigan",26005,22.6,17818,"1147 of 3146"
"Yakutat City and Borough, Alaska",02282,22.6,100,"1148 of 3146"
"Catawba County, North Carolina",37035,22.6,24663,"1149 of 3146"
"Delaware County, New York",36025,22.6,7410,"1150 of 3146"
"Thomas County, Kansas",20193,22.6,1133,"1151 of 3146"
"Cayuga County, New York",36011,22.6,12523,"1152 of 3146"
"Marion County, West Virginia",54049,22.6,8736,"1153 of 3146"
"Lake County, Indiana",18089,22.6,73988,"1154 of 3146"
"Jackson County, Minnesota",27063,22.6,1610,"1155 of 3146"
"Decatur County, Kansas",20039,22.5,484,"1156 of 3146"
"Jerauld County, South Dakota",46073,22.5,339,"1157 of 3146"
"Highland County, Virginia",51091,22.5,422,"1158 of 3146"
"Union County, Georgia",13291,22.5,4087,"1159 of 3146"
"Bristol Bay Borough, Alaska",02060,22.5,143,"1160 of 3146"
"Granville County, North Carolina",37077,22.5,9431,"1161 of 3146"
"Sweetwater County, Wyoming",56037,22.5,6291,"1162 of 3146"
"Garden County, Nebraska",31069,22.5,324,"1163 of 3146"
"Kimble County, Texas",48267,22.5,722,"1164 of 3146"
"Campbell County, Virginia",51031,22.5,8945,"1165 of 3146"
"Stark County, North Dakota",38089,22.4,4565,"1166 of 3146"
"Hamilton County, Texas",48193,22.4,1329,"1167 of 3146"
"Warren County, Mississippi",28149,22.4,7050,"1168 of 3146"
"Schoharie County, New York",36095,22.4,5005,"1169 of 3146"
"Harlan County, Nebraska",31083,22.4,527,"1170 of 3146"
"Morgan County, Alabama",01103,22.4,18476,"1171 of 3146"
"Carroll County, Iowa",19027,22.4,3079,"1172 of 3146"
"Kingfisher County, Oklahoma",40073,22.4,2276,"1173 of 3146"
"Marion County, Missouri",29127,22.4,4300,"1174 of 3146"
"Holt County, Nebraska",31089,22.4,1569,"1175 of 3146"
"Vernon County, Wisconsin",55123,22.4,4601,"1176 of 3146"
"Bradley County, Tennessee",47011,22.3,16081,"1177 of 3146"
"Crook County, Wyoming",56011,22.3,1159,"1178 of 3146"
"Riverside County, California",06065,22.3,347937,"1179 of 3146"
"Clinton County, Illinois",17027,22.3,5958,"1180 of 3146"
"Smith County, Kansas",20183,22.3,602,"1181 of 3146"
"Jefferson County, Florida",12065,22.3,2447,"1182 of 3146"
"Adams County, Pennsylvania",42001,22.3,16049,"1183 of 3146"
"Tripp County, South Dakota",46123,22.3,869,"1184 of 3146"
"Genesee County, New York",36037,22.3,9210,"1185 of 3146"
"Calcasieu Parish, Louisiana",22019,22.3,29704,"1186 of 3146"
"Potter County, South Dakota",46107,22.3,369,"1187 of 3146"
"Chautauqua County, New York",36013,22.2,19916,"1188 of 3146"
"Prairie County, Montana",30079,22.2,205,"1189 of 3146"
"Jefferson County, New York",36045,22.2,15905,"1190 of 3146"
"Cherokee County, Iowa",19035,22.2,1819,"1191 of 3146"
"Anderson County, South Carolina",45007,22.2,30255,"1192 of 3146"
"Dawson County, Montana",30021,22.2,1404,"1193 of 3146"
"Wayne County, Ohio",39169,22.2,16948,"1194 of 3146"
"Fayette County, Tennessee",47047,22.2,6550,"1195 of 3146"
"Comanche County, Oklahoma",40031,22.2,17160,"1196 of 3146"
"Fillmore County, Minnesota",27045,22.2,3203,"1197 of 3146"
"Brown County, Minnesota",27015,22.2,3846,"1198 of 3146"
"Wells County, North Dakota",38103,22.2,649,"1199 of 3146"
"Mower County, Minnesota",27099,22.2,5952,"1200 of 3146"
"Carson City, Nevada",32510,22.2,8719,"1201 of 3146"
"Shasta County, California",06089,22.2,28044,"1202 of 3146"
"Deuel County, South Dakota",46039,22.2,668,"1203 of 3146"
"Cedar County, Iowa",19031,22.2,2870,"1204 of 3146"
"Shelby County, Iowa",19165,22.2,1825,"1205 of 3146"
"Jackson County, Michigan",26075,22.2,24407,"1206 of 3146"
"Cooper County, Missouri",29053,22.1,2704,"1207 of 3146"
"Texas County, Oklahoma",40139,22.1,2800,"1208 of 3146"
"Rock County, Wisconsin",55105,22.1,24402,"1209 of 3146"
"Carlton County, Minnesota",27017,22.1,5521,"1210 of 3146"
"Benton County, Iowa",19011,22.1,3925,"1211 of 3146"
"Clarion County, Pennsylvania",42031,22.1,5845,"1212 of 3146"
"Saguache County, Colorado",08109,22.1,1067,"1213 of 3146"
"Hand County, South Dakota",46059,22.1,504,"1214 of 3146"
"Floyd County, Virginia",51063,22.1,2567,"1215 of 3146"
"Pasquotank County, North Carolina",37139,22.1,5947,"1216 of 3146"
"Macon County, Illinois",17115,22.1,16058,"1217 of 3146"
"Dillingham Census Area, Alaska",02070,22.1,639,"1218 of 3146"
"Greene County, New York",36039,22.1,7804,"1219 of 3146"
"Lawrence County, Pennsylvania",42073,22.1,13731,"1220 of 3146"
"Atchison County, Kansas",20005,22.0,2234,"1221 of 3146"
"Washington County, Maine",23029,22.0,5092,"1222 of 3146"
"Sheridan County, Kansas",20179,22.0,400,"1223 of 3146"
"Oldham County, Texas",48359,22.0,278,"1224 of 3146"
"Hardin County, Kentucky",21093,22.0,15783,"1225 of 3146"
"Hancock County, Mississippi",28045,22.0,7406,"1226 of 3146"
