Demographic Data Report by State
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2015-2019 American Community Survey 5-Year Data
Sorted by Value

State, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Ozark County, Missouri",29153,43.6,3957,"3053 of 3146"
"Clinton County, Kentucky",21053,43.5,4371,"3052 of 3146"
"Rowan County, Kentucky",21205,43.5,9334,"3051 of 3146"
"Madison County, Idaho",16065,43.5,16828,"3050 of 3146"
"Hall County, Texas",48191,43.5,1301,"3049 of 3146"
"Hardee County, Florida",12049,43.4,10982,"3048 of 3146"
"Early County, Georgia",13099,43.4,4386,"3047 of 3146"
"Luna County, New Mexico",35029,43.4,10274,"3046 of 3146"
"Pemiscot County, Missouri",29155,43.4,7096,"3045 of 3146"
"Menominee County, Wisconsin",55078,43.2,1951,"3044 of 3146"
"Cottle County, Texas",48101,43.2,706,"3043 of 3146"
"Lewis County, Kentucky",21135,43.1,5682,"3042 of 3146"
"Noxubee County, Mississippi",28103,43.1,4521,"3041 of 3146"
"Lowndes County, Alabama",01085,43.0,4277,"3040 of 3146"
"Natchitoches Parish, Louisiana",22069,43.0,16292,"3039 of 3146"
"Buena Vista City, Virginia",51530,43.0,2558,"3038 of 3146"
"Barbour County, Alabama",01005,42.9,9627,"3037 of 3146"
"Galax City, Virginia",51640,42.9,2684,"3036 of 3146"
"Mississippi County, Missouri",29133,42.9,5066,"3035 of 3146"
"Roosevelt County, Montana",30085,42.8,4644,"3034 of 3146"
"Terrell County, Georgia",13273,42.6,3577,"3033 of 3146"
"Robeson County, North Carolina",37155,42.5,54845,"3032 of 3146"
"Maverick County, Texas",48323,42.5,24660,"3031 of 3146"
"Ripley County, Missouri",29181,42.5,5704,"3030 of 3146"
"Floyd County, Kentucky",21071,42.5,15206,"3029 of 3146"
"Clarke County, Georgia",13059,42.4,48819,"3028 of 3146"
"Richland Parish, Louisiana",22083,42.3,8237,"3027 of 3146"
"Morehouse Parish, Louisiana",22067,42.1,10435,"3026 of 3146"
"Navajo County, Arizona",04017,42.1,44739,"3025 of 3146"
"Franklin Parish, Louisiana",22041,42.1,8003,"3024 of 3146"
"Adair County, Oklahoma",40001,42.0,9262,"3023 of 3146"
"Oktibbeha County, Mississippi",28105,42.0,18812,"3022 of 3146"
"Nicholas County, Kentucky",21181,41.9,2938,"3021 of 3146"
"DeSoto County, Florida",12027,41.6,14580,"3020 of 3146"
"Turner County, Georgia",13287,41.6,3169,"3019 of 3146"
"Jim Hogg County, Texas",48247,41.5,2135,"3018 of 3146"
"Walthall County, Mississippi",28147,41.5,5930,"3017 of 3146"
"Scott County, Mississippi",28123,41.5,11595,"3016 of 3146"
"Lincoln Parish, Louisiana",22061,41.4,18233,"3015 of 3146"
"Kinney County, Texas",48271,41.4,1410,"3014 of 3146"
"Webb County, Texas",48479,41.4,111818,"3013 of 3146"
"Allendale County, South Carolina",45005,41.3,3287,"3012 of 3146"
"Evans County, Georgia",13109,41.3,4196,"3011 of 3146"
"San Miguel County, New Mexico",35047,41.3,10816,"3010 of 3146"
"Telfair County, Georgia",13271,41.3,5295,"3009 of 3146"
"Jackson County, Kentucky",21109,41.2,5458,"3008 of 3146"
"Clay County, Tennessee",47027,41.1,3105,"3007 of 3146"
"Lake County, Tennessee",47095,41.1,1892,"3006 of 3146"
"Blaine County, Montana",30005,41.1,2711,"3005 of 3146"
"Prentiss County, Mississippi",28117,41.0,9884,"3004 of 3146"
"Wright County, Missouri",29229,41.0,7342,"3003 of 3146"
"Dallas County, Alabama",01047,41.0,15800,"3002 of 3146"
"Big Horn County, Montana",30003,41.0,5412,"3001 of 3146"
"Rolette County, North Dakota",38079,41.0,5837,"3000 of 3146"
"Marlboro County, South Carolina",45069,40.9,9768,"2999 of 3146"
