Demographic Data Report by State
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2015-2019 American Community Survey 5-Year Data
Sorted by Value

State, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"George County, Mississippi",28039,30.6,7140,"2367 of 3146"
"Jackson County, Ohio",39079,30.6,9765,"2366 of 3146"
"Mecosta County, Michigan",26107,30.6,12324,"2365 of 3146"
"Independence County, Arkansas",05063,30.6,11095,"2364 of 3146"
"Iberville Parish, Louisiana",22047,30.6,9028,"2363 of 3146"
"Taliaferro County, Georgia",13265,30.6,493,"2362 of 3146"
"Muscogee County, Georgia",13215,30.6,57705,"2361 of 3146"
"Marion County, Alabama",01093,30.6,8981,"2360 of 3146"
"Lafayette County, Mississippi",28071,30.6,14936,"2359 of 3146"
"Jerome County, Idaho",16053,30.6,7191,"2358 of 3146"
"Angelina County, Texas",48005,30.5,25867,"2357 of 3146"
"Trinity County, Texas",48455,30.5,4407,"2356 of 3146"
"Tripp County, South Dakota",46123,30.5,1622,"2355 of 3146"
"Sumter County, South Carolina",45085,30.5,31734,"2354 of 3146"
"Union County, Kentucky",21225,30.5,4333,"2353 of 3146"
"Scotland County, Missouri",29199,30.4,1461,"2352 of 3146"
"Lawrence County, Tennessee",47099,30.4,13015,"2351 of 3146"
"Brunswick County, Virginia",51025,30.4,4299,"2350 of 3146"
"Grimes County, Texas",48185,30.4,7408,"2349 of 3146"
"St. Martin Parish, Louisiana",22099,30.4,16107,"2348 of 3146"
"Butler County, Kentucky",21031,30.4,3800,"2347 of 3146"
"Phelps County, Missouri",29161,30.4,12627,"2346 of 3146"
"Fayette County, Indiana",18041,30.4,6931,"2345 of 3146"
"Arkansas County, Arkansas",05001,30.4,5326,"2344 of 3146"
"Freestone County, Texas",48161,30.4,5481,"2343 of 3146"
"Labette County, Kansas",20099,30.4,5972,"2342 of 3146"
"Allen County, Kentucky",21003,30.3,6267,"2341 of 3146"
"Worth County, Georgia",13321,30.3,6142,"2340 of 3146"
"Scott County, Missouri",29201,30.3,11487,"2339 of 3146"
"Crawford County, Georgia",13079,30.3,3694,"2338 of 3146"
"Clark County, Arkansas",05019,30.3,6003,"2337 of 3146"
"Marion County, Arkansas",05089,30.3,4931,"2336 of 3146"
"Wheeler County, Oregon",41069,30.3,422,"2335 of 3146"
"Ashland County, Wisconsin",55003,30.3,4545,"2334 of 3146"
"Randolph County, West Virginia",54083,30.3,8028,"2333 of 3146"
"St. Helena Parish, Louisiana",22091,30.3,3064,"2332 of 3146"
"Pointe Coupee Parish, Louisiana",22077,30.3,6560,"2331 of 3146"
"Terrell County, Texas",48443,30.2,271,"2330 of 3146"
"Cross County, Arkansas",05037,30.2,5001,"2329 of 3146"
"Nicholas County, West Virginia",54067,30.2,7524,"2328 of 3146"
"Putnam County, Tennessee",47141,30.2,22396,"2327 of 3146"
"Greenbrier County, West Virginia",54025,30.2,10443,"2326 of 3146"
"Kings County, New York",36047,30.2,774488,"2325 of 3146"
"DeKalb County, Tennessee",47041,30.2,5849,"2324 of 3146"
"Iron County, Utah",49021,30.2,15288,"2323 of 3146"
"Palo Pinto County, Texas",48363,30.2,8494,"2322 of 3146"
"Nottoway County, Virginia",51135,30.2,4149,"2321 of 3146"
"Franklin County, Alabama",01059,30.2,9335,"2320 of 3146"
"Knox County, Illinois",17095,30.2,13962,"2319 of 3146"
"Mayes County, Oklahoma",40097,30.2,12174,"2318 of 3146"
"Lake County, California",06033,30.1,19033,"2317 of 3146"
"Caldwell County, Texas",48055,30.1,12037,"2316 of 3146"
"Pocahontas County, West Virginia",54075,30.1,2451,"2315 of 3146"
"Pulaski County, Georgia",13235,30.1,2899,"2314 of 3146"
"Carroll County, Tennessee",47017,30.1,8113,"2313 of 3146"
"Vigo County, Indiana",18167,30.1,29703,"2312 of 3146"
"Harmon County, Oklahoma",40057,30.1,784,"2311 of 3146"
"Essex County, Virginia",51057,30.1,3282,"2310 of 3146"
"Chautauqua County, Kansas",20019,30.0,982,"2309 of 3146"
"Dyer County, Tennessee",47045,30.0,10984,"2308 of 3146"
"Highland County, Ohio",39071,30.0,12715,"2307 of 3146"
"Smyth County, Virginia",51173,30.0,8991,"2306 of 3146"
"Alachua County, Florida",12001,30.0,75300,"2305 of 3146"
"Montgomery County, Alabama",01101,30.0,65774,"2304 of 3146"
"Sedgwick County, Colorado",08115,30.0,685,"2303 of 3146"
"Floyd County, Georgia",13115,30.0,27922,"2302 of 3146"
"Montgomery County, Missouri",29139,30.0,3324,"2301 of 3146"
"Valencia County, New Mexico",35061,30.0,22240,"2300 of 3146"
"Butte County, Idaho",16023,30.0,761,"2299 of 3146"
"Lincoln County, Georgia",13181,30.0,2325,"2298 of 3146"
"Polk County, Missouri",29167,30.0,9034,"2297 of 3146"
"Baker County, Georgia",13007,29.9,938,"2296 of 3146"
"Marshall County, Oklahoma",40095,29.9,4860,"2295 of 3146"
"Kings County, California",06031,29.9,40681,"2294 of 3146"
"Carroll County, Mississippi",28015,29.9,2948,"2293 of 3146"
"Bollinger County, Missouri",29017,29.9,3631,"2292 of 3146"
"Jasper County, Georgia",13159,29.9,4080,"2291 of 3146"
"Navarro County, Texas",48349,29.9,14360,"2290 of 3146"
"Little River County, Arkansas",05081,29.9,3616,"2289 of 3146"
"McMinn County, Tennessee",47107,29.9,15398,"2288 of 3146"
"Liberty County, Georgia",13179,29.9,17662,"2287 of 3146"
"Reynolds County, Missouri",29179,29.9,1826,"2286 of 3146"
"Avery County, North Carolina",37011,29.9,4197,"2285 of 3146"
"Lake County, Montana",30047,29.9,8812,"2284 of 3146"
"Grainger County, Tennessee",47057,29.8,6838,"2283 of 3146"
"Ritchie County, West Virginia",54085,29.8,2894,"2282 of 3146"
"Chambers County, Alabama",01017,29.8,9872,"2281 of 3146"
"Cumberland County, North Carolina",37051,29.8,94390,"2280 of 3146"
"Webster County, Georgia",13307,29.8,777,"2279 of 3146"
"Dewey County, Oklahoma",40043,29.8,1435,"2278 of 3146"
"Covington County, Alabama",01039,29.8,10833,"2277 of 3146"
"Sabine Parish, Louisiana",22085,29.8,7022,"2276 of 3146"
"Hopkins County, Kentucky",21107,29.8,13120,"2275 of 3146"
"Taylor County, Kentucky",21217,29.7,7256,"2274 of 3146"
"Garza County, Texas",48169,29.7,1251,"2273 of 3146"
"Lincoln County, Montana",30053,29.7,5750,"2272 of 3146"
"Whitfield County, Georgia",13313,29.7,30535,"2271 of 3146"
"Hill County, Montana",30041,29.7,4735,"2270 of 3146"
"Hot Spring County, Arkansas",05059,29.7,9308,"2269 of 3146"
"San Jacinto County, Texas",48407,29.7,8272,"2268 of 3146"
"Cherokee County, Alabama",01019,29.7,7582,"2267 of 3146"
"Alpine County, California",06003,29.6,308,"2266 of 3146"
"Las Animas County, Colorado",08071,29.6,3962,"2265 of 3146"
"Jefferson Davis Parish, Louisiana",22053,29.6,9151,"2264 of 3146"
"Clay County, South Dakota",46027,29.6,3489,"2263 of 3146"
"Ohio County, Kentucky",21183,29.6,6951,"2262 of 3146"
"Henry County, Missouri",29083,29.6,6316,"2261 of 3146"
"Lubbock County, Texas",48303,29.6,86453,"2260 of 3146"
"Wilkes County, North Carolina",37193,29.6,19938,"2259 of 3146"
"Jefferson County, Florida",12065,29.6,3549,"2258 of 3146"
"Collingsworth County, Texas",48087,29.5,858,"2257 of 3146"
"Twiggs County, Georgia",13289,29.5,2411,"2256 of 3146"
"Montgomery County, Kansas",20125,29.5,9322,"2255 of 3146"
"Del Norte County, California",06015,29.5,7216,"2254 of 3146"
"Aroostook County, Maine",23003,29.5,19346,"2253 of 3146"
"Union Parish, Louisiana",22111,29.5,6419,"2252 of 3146"
"Graham County, North Carolina",37075,29.5,2470,"2251 of 3146"
"Decatur County, Iowa",19053,29.5,2130,"2250 of 3146"
"Hickory County, Missouri",29085,29.5,2745,"2249 of 3146"
"Henderson County, Texas",48213,29.5,23456,"2248 of 3146"
"Chouteau County, Montana",30015,29.5,1676,"2247 of 3146"
"Miami-Dade County, Florida",12086,29.4,783585,"2246 of 3146"
"Florence County, South Carolina",45041,29.4,39788,"2245 of 3146"
"Newberry County, South Carolina",45071,29.4,10904,"2244 of 3146"
"Garland County, Arkansas",05051,29.4,28491,"2243 of 3146"
"Lamar County, Texas",48277,29.4,14383,"2242 of 3146"
"Burke County, North Carolina",37023,29.4,25662,"2241 of 3146"
"Brown County, Nebraska",31017,29.4,871,"2240 of 3146"
"Neosho County, Kansas",20133,29.4,4578,"2239 of 3146"
"Lowndes County, Mississippi",28087,29.4,16855,"2238 of 3146"
"Mecklenburg County, Virginia",51117,29.4,8703,"2237 of 3146"
"Wayne County, Iowa",19185,29.4,1854,"2236 of 3146"
"Houston County, Tennessee",47083,29.4,2314,"2235 of 3146"
"Jackson County, North Carolina",37099,29.3,11450,"2234 of 3146"
"Crawford County, Arkansas",05033,29.3,18134,"2233 of 3146"
"Perry County, Arkansas",05105,29.3,2999,"2232 of 3146"
"Wayne County, Tennessee",47181,29.3,4287,"2231 of 3146"
"Banks County, Georgia",13011,29.3,5474,"2230 of 3146"
"Kearny County, Kansas",20093,29.3,1119,"2229 of 3146"
"Benton County, Mississippi",28009,29.3,2387,"2228 of 3146"
"Vernon Parish, Louisiana",22115,29.3,13847,"2227 of 3146"
"Morris County, Texas",48343,29.3,3572,"2226 of 3146"
"White County, Arkansas",05145,29.2,21877,"2225 of 3146"
"Houston County, Alabama",01069,29.2,30271,"2224 of 3146"
"Hoke County, North Carolina",37093,29.2,15229,"2223 of 3146"
"Milwaukee County, Wisconsin",55079,29.2,271622,"2222 of 3146"
"Dale County, Alabama",01045,29.2,13946,"2221 of 3146"
"Love County, Oklahoma",40085,29.2,2905,"2220 of 3146"
"Glascock County, Georgia",13125,29.2,851,"2219 of 3146"
"Shelby County, Tennessee",47157,29.2,268063,"2218 of 3146"
"Guernsey County, Ohio",39059,29.2,11248,"2217 of 3146"
"Taylor County, West Virginia",54091,29.2,4789,"2216 of 3146"
"Lee County, North Carolina",37105,29.2,17335,"2215 of 3146"
"Chippewa County, Michigan",26033,29.2,9918,"2214 of 3146"
"Mobile County, Alabama",01097,29.2,118404,"2213 of 3146"
"Deaf Smith County, Texas",48117,29.1,5381,"2212 of 3146"
"Shelby County, Missouri",29205,29.1,1669,"2211 of 3146"
"Parmer County, Texas",48369,29.1,2810,"2210 of 3146"
"Clark County, Idaho",16033,29.1,266,"2209 of 3146"
"Cochise County, Arizona",04003,29.1,34116,"2208 of 3146"
"Logan County, Kentucky",21141,29.1,7723,"2207 of 3146"
"Grant County, Oregon",41023,29.1,2060,"2206 of 3146"
"Benton County, Missouri",29015,29.1,5482,"2205 of 3146"
"Modoc County, California",06049,29.1,2501,"2204 of 3146"
"Crenshaw County, Alabama",01041,29.1,3960,"2203 of 3146"
"Edgefield County, South Carolina",45037,29.1,7107,"2202 of 3146"
"Nolan County, Texas",48353,29.1,4250,"2201 of 3146"
"Laclede County, Missouri",29105,29.0,10188,"2200 of 3146"
"Butte County, California",06007,29.0,63905,"2199 of 3146"
"Forest County, Pennsylvania",42053,29.0,1049,"2198 of 3146"
"Cherokee County, North Carolina",37039,29.0,8004,"2197 of 3146"
"Union County, New Mexico",35059,29.0,1002,"2196 of 3146"
"Calhoun County, Alabama",01015,29.0,32376,"2195 of 3146"
"Tate County, Mississippi",28137,29.0,7665,"2193 of 3146"
"Umatilla County, Oregon",41059,29.0,20993,"2193 of 3146"
"Osceola County, Michigan",26133,29.0,6633,"2192 of 3146"
"Owyhee County, Idaho",16073,29.0,3298,"2191 of 3146"
"Hockley County, Texas",48219,29.0,6432,"2190 of 3146"
"Richmond County, Virginia",51159,29.0,2105,"2189 of 3146"
"Gogebic County, Michigan",26053,29.0,4004,"2188 of 3146"
"Grant County, Washington",53025,28.9,27360,"2187 of 3146"
"Crittenden County, Kentucky",21055,28.9,2512,"2186 of 3146"
"Gibson County, Tennessee",47053,28.9,13887,"2185 of 3146"
"Haakon County, South Dakota",46055,28.9,572,"2184 of 3146"
"Lewis County, Missouri",29111,28.9,2652,"2183 of 3146"
"Beckham County, Oklahoma",40009,28.9,5818,"2182 of 3146"
"Rockingham County, North Carolina",37157,28.9,25875,"2181 of 3146"
"Marion County, Indiana",18097,28.9,269194,"2180 of 3146"
"Mason County, Kentucky",21161,28.9,4831,"2179 of 3146"
"Pueblo County, Colorado",08101,28.9,46723,"2178 of 3146"
"Union County, Arkansas",05139,28.9,11253,"2177 of 3146"
"Sullivan County, Missouri",29211,28.8,1744,"2176 of 3146"
"Montgomery County, Virginia",51121,28.8,25599,"2175 of 3146"
"Lawrence County, Ohio",39087,28.8,17089,"2174 of 3146"
"Camas County, Idaho",16025,28.8,302,"2173 of 3146"
"Ford County, Kansas",20057,28.8,9647,"2172 of 3146"
"Muhlenberg County, Kentucky",21177,28.8,8704,"2171 of 3146"
"Coos County, Oregon",41011,28.8,18025,"2170 of 3146"
"Roscommon County, Michigan",26143,28.8,6750,"2169 of 3146"
"Wheatland County, Montana",30107,28.8,607,"2168 of 3146"
"Daviess County, Missouri",29061,28.7,2322,"2167 of 3146"
"Rio Grande County, Colorado",08105,28.7,3199,"2166 of 3146"
"Grant Parish, Louisiana",22043,28.7,5489,"2165 of 3146"
"Siskiyou County, California",06093,28.7,12372,"2164 of 3146"
"Leon County, Florida",12073,28.7,79520,"2163 of 3146"
"Vermilion County, Illinois",17183,28.7,21374,"2162 of 3146"
"Chautauqua County, New York",36013,28.7,35302,"2161 of 3146"
"Lunenburg County, Virginia",51111,28.7,3241,"2160 of 3146"
"Lee County, Alabama",01081,28.7,44487,"2159 of 3146"
"Greene County, Arkansas",05055,28.6,12620,"2158 of 3146"
"DeWitt County, Texas",48123,28.6,5266,"2157 of 3146"
"Larue County, Kentucky",21123,28.6,3936,"2156 of 3146"
"Childress County, Texas",48075,28.6,1642,"2155 of 3146"
"Glenn County, California",06021,28.6,7874,"2154 of 3146"
"Wheeler County, Texas",48483,28.6,1509,"2153 of 3146"
"Arenac County, Michigan",26011,28.6,4250,"2152 of 3146"
"Cherokee County, Kansas",20021,28.6,5679,"2151 of 3146"
"Kiowa County, Colorado",08061,28.6,417,"2150 of 3146"
"Morrow County, Oregon",41049,28.6,3219,"2149 of 3146"
"Saline County, Missouri",29195,28.5,6179,"2148 of 3146"
"Lawrence County, Alabama",01079,28.5,9344,"2147 of 3146"
"Sequatchie County, Tennessee",47153,28.5,4153,"2146 of 3146"
"Yancey County, North Carolina",37199,28.5,5022,"2145 of 3146"
"Anderson County, Texas",48001,28.5,12642,"2144 of 3146"
"St. James Parish, Louisiana",22093,28.5,6010,"2143 of 3146"
"Stephens County, Texas",48429,28.5,2538,"2142 of 3146"
"Stevens County, Kansas",20189,28.5,1564,"2141 of 3146"
"Grant County, Indiana",18053,28.5,17335,"2140 of 3146"
"Waynesboro City, Virginia",51820,28.5,6217,"2139 of 3146"
"Monongalia County, West Virginia",54061,28.5,28331,"2138 of 3146"
"Union County, Illinois",17181,28.5,4758,"2137 of 3146"
"Calhoun County, Arkansas",05013,28.5,1439,"2136 of 3146"
"Marion County, Illinois",17121,28.4,10413,"2135 of 3146"
"Oceana County, Michigan",26127,28.4,7431,"2134 of 3146"
"Buckingham County, Virginia",51029,28.4,4222,"2133 of 3146"
"Cimarron County, Oklahoma",40025,28.4,613,"2132 of 3146"
"Owen County, Kentucky",21187,28.4,3009,"2131 of 3146"
"Kay County, Oklahoma",40071,28.4,12336,"2130 of 3146"
"Mason County, West Virginia",54053,28.4,7373,"2129 of 3146"
"Hancock County, Mississippi",28045,28.4,13252,"2128 of 3146"
"McCulloch County, Texas",48307,28.4,2227,"2127 of 3146"
"Lucas County, Ohio",39095,28.4,119489,"2126 of 3146"
"Gallia County, Ohio",39053,28.4,8295,"2125 of 3146"
"Ballard County, Kentucky",21007,28.3,2236,"2124 of 3146"
"Marion County, West Virginia",54049,28.3,15578,"2123 of 3146"
"Craighead County, Arkansas",05031,28.3,29165,"2122 of 3146"
"Dallas County, Missouri",29059,28.3,4634,"2120 of 3146"
"Genesee County, Michigan",26049,28.3,114054,"2120 of 3146"
"San Saba County, Texas",48411,28.3,1502,"2119 of 3146"
"McCormick County, South Carolina",45065,28.3,2352,"2118 of 3146"
"Benewah County, Idaho",16009,28.3,2549,"2117 of 3146"
"Prince of Wales-Outer Ketchikan, Alaska",02201,28.3,1795,"2115 of 3146"
"Madison County, Georgia",13195,28.3,8179,"2114 of 3146"
"Jefferson County, Texas",48245,28.3,67145,"2113 of 3146"
"Pittsburg County, Oklahoma",40121,28.2,11852,"2112 of 3146"
"Allen County, Kansas",20001,28.2,3416,"2111 of 3146"
"Lyon County, Kansas",20111,28.2,8924,"2110 of 3146"
"Mohave County, Arizona",04015,28.2,57495,"2109 of 3146"
"Harrison County, Kentucky",21097,28.2,5184,"2108 of 3146"
"Norfolk City, Virginia",51710,28.2,61713,"2107 of 3146"
"Prince Edward County, Virginia",51147,28.2,4934,"2106 of 3146"
"Cumberland County, New Jersey",34011,28.2,39430,"2105 of 3146"
"Polk County, Texas",48373,28.2,12760,"2104 of 3146"
"Cattaraugus County, New York",36009,28.1,21020,"2103 of 3146"
"Iosco County, Michigan",26069,28.1,6984,"2102 of 3146"
"Polk County, Tennessee",47139,28.1,4642,"2101 of 3146"
"Musselshell County, Montana",30065,28.1,1324,"2100 of 3146"
"Milam County, Texas",48331,28.1,6815,"2099 of 3146"
"Izard County, Arkansas",05065,28.1,3551,"2098 of 3146"
"Ingham County, Michigan",26065,28.1,76380,"2097 of 3146"
"Etowah County, Alabama",01055,28.1,28478,"2096 of 3146"
"Blaine County, Oklahoma",40011,28.1,2258,"2095 of 3146"
"Erath County, Texas",48143,28.1,11161,"2094 of 3146"
"Scott County, Virginia",51169,28.1,5887,"2093 of 3146"
"Boyd County, Kentucky",21019,28.1,12825,"2092 of 3146"
"Madison County, Tennessee",47113,28.0,26339,"2091 of 3146"
"Marion County, Missouri",29127,28.0,7602,"2090 of 3146"
"Story County, Iowa",19169,28.0,24100,"2089 of 3146"
"Scurry County, Texas",48415,28.0,4223,"2088 of 3146"
"Yadkin County, North Carolina",37197,28.0,10428,"2087 of 3146"
"Smith County, Tennessee",47159,28.0,5451,"2086 of 3146"
"Rosebud County, Montana",30087,28.0,2525,"2085 of 3146"
"Bourbon County, Kentucky",21017,28.0,5498,"2084 of 3146"
"Chowan County, North Carolina",37041,28.0,3863,"2083 of 3146"
"Mendocino County, California",06045,28.0,23958,"2082 of 3146"
"Bracken County, Kentucky",21023,27.9,2292,"2081 of 3146"
"Monroe County, Ohio",39111,27.9,3846,"2080 of 3146"
"Somervell County, Texas",48425,27.9,2407,"2079 of 3146"
"Hamilton County, Texas",48193,27.9,2259,"2078 of 3146"
"Fayette County, Illinois",17051,27.9,5540,"2077 of 3146"
"Floyd County, Texas",48153,27.9,1606,"2076 of 3146"
"St. Lawrence County, New York",36089,27.9,27056,"2075 of 3146"
"Putnam County, Georgia",13237,27.9,5973,"2074 of 3146"
"Jewell County, Kansas",20089,27.9,789,"2073 of 3146"
"Randolph County, North Carolina",37151,27.9,39400,"2072 of 3146"
"Osceola County, Florida",12097,27.9,97487,"2071 of 3146"
"Champaign County, Illinois",17019,27.9,54113,"2070 of 3146"
"King County, Texas",48269,27.8,66,"2069 of 3146"
"Prairie County, Arkansas",05117,27.8,2221,"2068 of 3146"
"Walker County, Georgia",13295,27.8,18788,"2067 of 3146"
"Columbia County, Florida",12023,27.8,18083,"2066 of 3146"
"Pettis County, Missouri",29159,27.8,11545,"2065 of 3146"
"Schley County, Georgia",13249,27.8,1452,"2064 of 3146"
"McDowell County, North Carolina",37111,27.8,12274,"2063 of 3146"
"Audrain County, Missouri",29007,27.8,6532,"2062 of 3146"
"Tyler County, West Virginia",54095,27.8,2404,"2061 of 3146"
"Washington County, Arkansas",05143,27.8,62259,"2060 of 3146"
"Adams County, Indiana",18001,27.8,9632,"2059 of 3146"
"Greene County, Missouri",29077,27.8,77217,"2058 of 3146"
"Panola County, Texas",48365,27.8,6325,"2057 of 3146"
"Bibb County, Alabama",01007,27.8,5726,"2056 of 3146"
"Custer County, Idaho",16037,27.8,1147,"2055 of 3146"
"Tazewell County, Virginia",51185,27.7,11107,"2054 of 3146"
"Fayette County, Pennsylvania",42051,27.7,35170,"2053 of 3146"
"Gonzales County, Texas",48177,27.7,5665,"2052 of 3146"
"Comanche County, Oklahoma",40031,27.7,30973,"2051 of 3146"
"Vermilion Parish, Louisiana",22113,27.7,16360,"2050 of 3146"
"Polk County, Florida",12105,27.7,186292,"2049 of 3146"
"Lemhi County, Idaho",16059,27.7,2139,"2048 of 3146"
"Caldwell County, North Carolina",37027,27.7,22335,"2047 of 3146"
"Pulaski County, Arkansas",05119,27.7,106927,"2046 of 3146"
"Liberty County, Texas",48291,27.7,21022,"2045 of 3146"
"Ellis County, Oklahoma",40045,27.7,1094,"2044 of 3146"
"Clarke County, Mississippi",28023,27.7,4334,"2043 of 3146"
"San Patricio County, Texas",48409,27.7,18288,"2042 of 3146"
"Gilmer County, Georgia",13123,27.6,8331,"2041 of 3146"
"Harrison County, Texas",48203,27.6,17958,"2040 of 3146"
"Bowie County, Texas",48037,27.6,24225,"2039 of 3146"
"Linn County, Kansas",20107,27.6,2647,"2038 of 3146"
"Appanoose County, Iowa",19007,27.6,3396,"2037 of 3146"
"Wapello County, Iowa",19179,27.6,9486,"2036 of 3146"
"Allegany County, New York",36003,27.6,11526,"2035 of 3146"
"Dallas County, Arkansas",05039,27.6,1799,"2034 of 3146"
"Hickman County, Tennessee",47081,27.6,6350,"2033 of 3146"
"Howard County, Texas",48227,27.6,8710,"2032 of 3146"
"Schuyler County, Missouri",29197,27.6,1240,"2031 of 3146"
"Madison County, Kentucky",21151,27.6,23227,"2030 of 3146"
"Cameron Parish, Louisiana",22023,27.6,1907,"2029 of 3146"
"Lea County, New Mexico",35025,27.6,18651,"2028 of 3146"
"Putnam County, Missouri",29171,27.6,1291,"2027 of 3146"
"Taney County, Missouri",29213,27.6,14706,"2026 of 3146"
"Hillsdale County, Michigan",26059,27.6,12128,"2025 of 3146"
"Jasper County, Missouri",29097,27.6,32374,"2024 of 3146"
"Canyon County, Idaho",16027,27.6,59043,"2023 of 3146"
"Carroll County, Georgia",13045,27.6,31239,"2022 of 3146"
"Minidoka County, Idaho",16067,27.5,5647,"2021 of 3146"
"Georgetown County, South Carolina",45043,27.5,16898,"2020 of 3146"
"Montmorency County, Michigan",26119,27.5,2508,"2019 of 3146"
"Camp County, Texas",48063,27.5,3529,"2018 of 3146"
"Caldwell County, Kentucky",21033,27.5,3466,"2017 of 3146"
"Randolph County, Missouri",29175,27.5,6240,"2016 of 3146"
"Bannock County, Idaho",16005,27.5,23009,"2015 of 3146"
"Calcasieu Parish, Louisiana",22019,27.5,54503,"2014 of 3146"
"Carroll County, Arkansas",05015,27.5,7610,"2013 of 3146"
"Tippecanoe County, Indiana",18157,27.5,47972,"2012 of 3146"
"Pamlico County, North Carolina",37137,27.5,3292,"2011 of 3146"
"Kalkaska County, Michigan",26079,27.5,4788,"2010 of 3146"
"Cotton County, Oklahoma",40033,27.5,1561,"2009 of 3146"
"Montgomery County, North Carolina",37123,27.5,7171,"2008 of 3146"
"Grant County, West Virginia",54023,27.4,3154,"2007 of 3146"
"Bedford County, Tennessee",47003,27.4,13085,"2006 of 3146"
"Live Oak County, Texas",48297,27.4,2926,"2005 of 3146"
"Cumberland County, Tennessee",47035,27.4,15955,"2004 of 3146"
"Alleghany County and Clifton Forge City, Virginia",51005,27.4,4065,"2003 of 3146"
"Prairie County, Montana",30079,27.4,336,"2002 of 3146"
"Alamance County, North Carolina",37001,27.4,43538,"2001 of 3146"
"Mahoning County, Ohio",39099,27.4,61190,"2000 of 3146"
"Murray County, Georgia",13213,27.4,10711,"1999 of 3146"
"Anderson County, Kansas",20003,27.4,2099,"1998 of 3146"
"Wichita County, Texas",48485,27.4,31891,"1997 of 3146"
"Rowan County, North Carolina",37159,27.3,37187,"1996 of 3146"
"Fayette County, Ohio",39047,27.3,7683,"1995 of 3146"
"Newton County, Arkansas",05101,27.3,2117,"1994 of 3146"
"Williamsburg City, Virginia",51830,27.3,2884,"1993 of 3146"
"Coconino County, Arizona",04005,27.3,34994,"1992 of 3146"
"Coosa County, Alabama",01037,27.3,2829,"1991 of 3146"
"Saginaw County, Michigan",26145,27.3,50665,"1990 of 3146"
"Warren County, Kentucky",21227,27.3,33006,"1989 of 3146"
"Marion County, Ohio",39101,27.3,16208,"1988 of 3146"
"Schoolcraft County, Michigan",26153,27.3,2165,"1987 of 3146"
"Lumpkin County, Georgia",13187,27.3,8448,"1986 of 3146"
"Monroe County, West Virginia",54063,27.3,3612,"1985 of 3146"
"Pendleton County, West Virginia",54071,27.3,1883,"1984 of 3146"
"Pike County, Illinois",17149,27.3,4143,"1983 of 3146"
"Sheridan County, Nebraska",31161,27.3,1409,"1982 of 3146"
"Pawnee County, Oklahoma",40117,27.2,4404,"1981 of 3146"
"Faulkner County, Arkansas",05045,27.2,32320,"1980 of 3146"
"Wood County, West Virginia",54107,27.2,22865,"1979 of 3146"
"Blackford County, Indiana",18009,27.2,3216,"1978 of 3146"
"Davidson County, North Carolina",37057,27.2,44374,"1977 of 3146"
"Lane County, Oregon",41039,27.2,99619,"1976 of 3146"
"Barton County, Kansas",20009,27.2,7038,"1975 of 3146"
"Fall River County, South Dakota",46047,27.2,1779,"1974 of 3146"
"Wayne County, Indiana",18177,27.2,17267,"1973 of 3146"
"Scott County, Indiana",18143,27.2,6320,"1972 of 3146"
"Gregory County, South Dakota",46053,27.2,1125,"1971 of 3146"
"Northampton County, Virginia",51131,27.1,3130,"1970 of 3146"
"Hale County, Texas",48189,27.1,8549,"1969 of 3146"
"Montague County, Texas",48337,27.1,5194,"1968 of 3146"
"Gilmer County, West Virginia",54021,27.1,1769,"1967 of 3146"
"Nueces County, Texas",48355,27.1,95802,"1966 of 3146"
"Trumbull County, Ohio",39155,27.1,53317,"1965 of 3146"
"Ross County, Ohio",39141,27.1,19254,"1964 of 3146"
"Henderson County, Kentucky",21101,27.1,12091,"1963 of 3146"
"Wilson County, Kansas",20205,27.1,2294,"1962 of 3146"
"Prowers County, Colorado",08099,27.1,3165,"1961 of 3146"
"Jefferson County, Ohio",39081,27.1,17359,"1960 of 3146"
"Todd County, Kentucky",21219,27.1,3262,"1959 of 3146"
"Silver Bow County, Montana",30093,27.0,9151,"1958 of 3146"
"Henry County, Kentucky",21103,27.0,4278,"1957 of 3146"
"Klickitat County, Washington",53039,27.0,5848,"1956 of 3146"
"Cleburne County, Alabama",01029,27.0,3956,"1955 of 3146"
"Citrus County, Florida",12017,27.0,38453,"1954 of 3146"
"Dallas County, Texas",48113,27.0,696119,"1953 of 3146"
"Jefferson County, Oregon",41031,27.0,6059,"1952 of 3146"
"Indiana County, Pennsylvania",42063,27.0,21381,"1951 of 3146"
"Nye County, Nevada",32023,27.0,11800,"1950 of 3146"
"Clark County, Missouri",29045,27.0,1787,"1949 of 3146"
"Cass County, Indiana",18017,27.0,9924,"1948 of 3146"
"Grant County, Kentucky",21081,27.0,6599,"1947 of 3146"
"Garvin County, Oklahoma",40049,27.0,7392,"1946 of 3146"
"Harnett County, North Carolina",37085,27.0,34705,"1945 of 3146"
"Lincoln County, Oregon",41041,27.0,12912,"1944 of 3146"
"Clarion County, Pennsylvania",42031,27.0,10118,"1943 of 3146"
"Pearl River County, Mississippi",28109,27.0,14478,"1942 of 3146"
"Pickens County, South Carolina",45077,26.9,31568,"1941 of 3146"
"Iron County, Michigan",26071,26.9,2924,"1940 of 3146"
"Franklin County, New York",36033,26.9,12096,"1939 of 3146"
"Jack County, Texas",48237,26.9,2072,"1938 of 3146"
