Demographic Data Report by State
"Insurance: Percent insured in demographic group, all income levels"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2019 Small Area Health Insurance Estimates Data
Sorted by Value

State, FIPS,Value (Percent),People (Insured),Rank within US
"Norfolk County, Massachusetts",25021,97.6,563836,"1 of 3139"
"Los Alamos County, New Mexico",35028,97.2,15687,"2 of 3139"
"Plymouth County, Massachusetts",25023,97.0,405678,"3 of 3139"
"Middlesex County, Massachusetts",25017,96.9,1279284,"4 of 3139"
"Hampshire County, Massachusetts",25015,96.8,106920,"5 of 3139"
"Carver County, Minnesota",27019,96.7,89331,"6 of 3139"
"Franklin County, Massachusetts",25011,96.7,51449,"6 of 3139"
"Bristol County, Rhode Island",44001,96.6,35950,"8 of 3139"
"Washington County, Rhode Island",44009,96.5,91100,"9 of 3139"
"Worcester County, Massachusetts",25027,96.5,651418,"9 of 3139"
"Saratoga County, New York",36091,96.4,179363,"11 of 3139"
"Bremer County, Iowa",19017,96.3,18046,"12 of 3139"
"Kent County, Rhode Island",44003,96.3,128478,"12 of 3139"
"Barnstable County, Massachusetts",25001,96.2,138103,"14 of 3139"
"Falls Church City, Virginia",51610,96.2,12174,"14 of 3139"
"Monroe County, Illinois",17133,96.2,27313,"14 of 3139"
"Warren County, Iowa",19181,96.2,40552,"14 of 3139"
"Berkshire County, Massachusetts",25003,96.1,86911,"18 of 3139"
"Bristol County, Massachusetts",25005,96.1,438261,"18 of 3139"
"Dallas County, Iowa",19049,96.1,79409,"18 of 3139"
"Essex County, Massachusetts",25009,96.1,612622,"18 of 3139"
"Albany County, New York",36001,96.0,229629,"22 of 3139"
"District of Columbia",11001,96.0,562679,"22 of 3139"
"Waukesha County, Wisconsin",55133,96.0,314847,"22 of 3139"
"Chemung County, New York",36015,95.9,61438,"25 of 3139"
"Erie County, New York",36029,95.9,699779,"25 of 3139"
"Grundy County, Iowa",19075,95.9,9215,"25 of 3139"
"Iowa County, Iowa",19095,95.9,12441,"25 of 3139"
"Nantucket County, Massachusetts",25019,95.9,9289,"25 of 3139"
"Ontario County, New York",36069,95.9,81771,"25 of 3139"
"Ozaukee County, Wisconsin",55089,95.9,67560,"25 of 3139"
"Washington County, Minnesota",27163,95.9,212292,"25 of 3139"
"Calvert County, Maryland",24009,95.8,74526,"33 of 3139"
"Cedar County, Iowa",19031,95.8,14140,"33 of 3139"
"Cortland County, New York",36023,95.8,34570,"33 of 3139"
"Marion County, Iowa",19125,95.8,24934,"33 of 3139"
"Monroe County, New York",36055,95.8,564598,"33 of 3139"
"Newport County, Rhode Island",44005,95.8,58433,"33 of 3139"
"Putnam County, New York",36079,95.8,76825,"33 of 3139"
"Rensselaer County, New York",36083,95.8,121331,"33 of 3139"
"Sherburne County, Minnesota",27141,95.8,80918,"33 of 3139"
"Brown County, Illinois",17009,95.7,3549,"42 of 3139"
"Douglas County, Colorado",08035,95.7,299105,"42 of 3139"
"Gilpin County, Colorado",08047,95.7,4895,"42 of 3139"
"Hampden County, Massachusetts",25013,95.7,355567,"42 of 3139"
"Madison County, New York",36053,95.7,51005,"42 of 3139"
"Niagara County, New York",36063,95.7,158994,"42 of 3139"
"Oldham County, Kentucky",21185,95.7,51990,"42 of 3139"
"Tioga County, New York",36107,95.7,36344,"42 of 3139"
"Warren County, New York",36113,95.7,46979,"42 of 3139"
"Wayne County, New York",36117,95.7,68923,"42 of 3139"
"Chisago County, Minnesota",27025,95.6,44570,"52 of 3139"
"Dakota County, Minnesota",27037,95.6,350553,"52 of 3139"
"Genesee County, New York",36037,95.6,42948,"52 of 3139"
"Honolulu County, Hawaii",15003,95.6,736562,"52 of 3139"
"Jasper County, Iowa",19099,95.6,27201,"52 of 3139"
"Tolland County, Connecticut",09013,95.6,107720,"52 of 3139"
"Wright County, Minnesota",27171,95.6,115054,"52 of 3139"
"Wyoming County, New York",36121,95.6,27960,"52 of 3139"
"Benton County, Iowa",19011,95.5,19754,"60 of 3139"
"Boone County, Iowa",19015,95.5,19984,"60 of 3139"
"Carroll County, Iowa",19027,95.5,15141,"60 of 3139"
"Carroll County, Maryland",24013,95.5,130832,"60 of 3139"
"Delaware County, Ohio",39041,95.5,171520,"60 of 3139"
"Howard County, Maryland",24027,95.5,265427,"60 of 3139"
"St. Croix County, Wisconsin",55109,95.5,74225,"60 of 3139"
"Chenango County, New York",36017,95.4,35194,"67 of 3139"
"Dickinson County, Iowa",19059,95.4,12017,"67 of 3139"
"Harford County, Maryland",24025,95.4,201579,"67 of 3139"
"Livingston County, New York",36051,95.4,44020,"67 of 3139"
"Washington County, Wisconsin",55131,95.4,106461,"67 of 3139"
"Herkimer County, New York",36043,95.3,45082,"72 of 3139"
"Middlesex County, Connecticut",09007,95.3,119478,"72 of 3139"
"Scott County, Minnesota",27139,95.3,126276,"72 of 3139"
"Steele County, North Dakota",38091,95.3,1348,"72 of 3139"
"Tompkins County, New York",36109,95.3,70894,"72 of 3139"
"Buchanan County, Iowa",19019,95.2,16252,"77 of 3139"
"Butler County, Pennsylvania",42019,95.2,141104,"77 of 3139"
"Cayuga County, New York",36011,95.2,55305,"77 of 3139"
"Cerro Gordo County, Iowa",19033,95.2,30743,"77 of 3139"
"Charles County, Maryland",24017,95.2,134008,"77 of 3139"
"Fulton County, New York",36035,95.2,39773,"77 of 3139"
"Jefferson County, New York",36045,95.2,83955,"77 of 3139"
"Kossuth County, Iowa",19109,95.2,10581,"77 of 3139"
"Linn County, Iowa",19113,95.2,177103,"77 of 3139"
"Mills County, Iowa",19129,95.2,11326,"77 of 3139"
"Nassau County, New York",36059,95.2,1057271,"77 of 3139"
"Onondaga County, New York",36067,95.2,348701,"77 of 3139"
"Schenectady County, New York",36093,95.2,119744,"77 of 3139"
"Schuyler County, New York",36097,95.2,13114,"77 of 3139"
"Suffolk County, Massachusetts",25025,95.2,625098,"77 of 3139"
"Wilkin County, Minnesota",27167,95.2,4684,"77 of 3139"
"Winneshiek County, Iowa",19191,95.2,13234,"77 of 3139"
"Anne Arundel County, Maryland",24003,95.1,455151,"94 of 3139"
"Calumet County, Wisconsin",55015,95.1,40332,"94 of 3139"
"Chittenden County, Vermont",50007,95.1,123742,"94 of 3139"
"Dane County, Wisconsin",55025,95.1,438142,"94 of 3139"
"Dodge County, Minnesota",27039,95.1,16839,"94 of 3139"
"Douglas County, Minnesota",27041,95.1,27566,"94 of 3139"
"Dubuque County, Iowa",19061,95.1,72768,"94 of 3139"
"Essex County, New York",36031,95.1,25117,"94 of 3139"
"Madison County, Iowa",19121,95.1,12754,"94 of 3139"
"Montgomery County, Pennsylvania",42091,95.1,639297,"94 of 3139"
"Nicollet County, Minnesota",27103,95.1,24964,"94 of 3139"
"Orange County, New York",36071,95.1,305791,"94 of 3139"
"Placer County, California",06061,95.1,304636,"94 of 3139"
"Richmond County, New York",36085,95.1,375262,"94 of 3139"
"Clinton County, New York",36019,95.0,57270,"108 of 3139"
"Greene County, New York",36039,95.0,32203,"108 of 3139"
"Lassen County, California",06035,95.0,17453,"108 of 3139"
"Lewis County, New York",36049,95.0,20085,"108 of 3139"
"Livingston County, Michigan",26093,95.0,150251,"108 of 3139"
"Winnebago County, Iowa",19189,95.0,7287,"108 of 3139"
"Adair County, Iowa",19001,94.9,5177,"114 of 3139"
"Alameda County, California",06001,94.9,1346982,"114 of 3139"
"Allegheny County, Pennsylvania",42003,94.9,907256,"114 of 3139"
"Anoka County, Minnesota",27003,94.9,287513,"114 of 3139"
"Clay County, Minnesota",27027,94.9,50192,"114 of 3139"
"Des Moines County, Iowa",19057,94.9,28705,"114 of 3139"
"Dukes County, Massachusetts",25007,94.9,12215,"114 of 3139"
"Greene County, Iowa",19073,94.9,6484,"114 of 3139"
"Houston County, Minnesota",27055,94.9,13646,"114 of 3139"
"Mercer County, North Dakota",38057,94.9,6217,"114 of 3139"
"Otsego County, New York",36077,94.9,39832,"114 of 3139"
"Pennington County, Minnesota",27113,94.9,10700,"114 of 3139"
"Schoharie County, New York",36095,94.9,21574,"114 of 3139"
"Washington County, New York",36115,94.9,43888,"114 of 3139"
"Broome County, New York",36007,94.8,136878,"128 of 3139"
"Brown County, Minnesota",27015,94.8,17810,"128 of 3139"
"Calhoun County, Iowa",19025,94.8,6479,"128 of 3139"
"Clinton County, Iowa",19045,94.8,34962,"128 of 3139"
"Fremont County, Iowa",19071,94.8,5011,"128 of 3139"
"Goodhue County, Minnesota",27049,94.8,34748,"128 of 3139"
"Hancock County, Iowa",19081,94.8,7720,"128 of 3139"
"Harrison County, Iowa",19085,94.8,10607,"128 of 3139"
"Henry County, Iowa",19087,94.8,13802,"128 of 3139"
"Hunterdon County, New Jersey",34019,94.8,93653,"128 of 3139"
"Ida County, Iowa",19093,94.8,5037,"128 of 3139"
"Kauai County, Hawaii",15007,94.8,54109,"128 of 3139"
"La Crosse County, Wisconsin",55063,94.8,88758,"128 of 3139"
"Montgomery County, New York",36057,94.8,37185,"128 of 3139"
"Poweshiek County, Iowa",19157,94.8,12451,"128 of 3139"
"San Francisco County, California",06075,94.8,696065,"128 of 3139"
"St. Louis County, Minnesota",27137,94.8,144897,"128 of 3139"
"St. Marys County, Maryland",24037,94.8,91091,"128 of 3139"
"Steuben County, New York",36101,94.8,71338,"128 of 3139"
"Suffolk County, New York",36103,94.8,1151217,"128 of 3139"
"Washington County, Vermont",50023,94.8,41934,"128 of 3139"
"Worth County, Iowa",19195,94.8,5497,"128 of 3139"
"Broomfield County, Colorado",08014,94.7,57722,"150 of 3139"
"Butler County, Iowa",19023,94.7,10456,"150 of 3139"
"Dutchess County, New York",36027,94.7,214950,"150 of 3139"
"Grand Isle County, Vermont",50013,94.7,5365,"150 of 3139"
"Lake County, Minnesota",27075,94.7,7293,"150 of 3139"
"Lee County, Iowa",19111,94.7,24139,"150 of 3139"
"Marin County, California",06041,94.7,185579,"150 of 3139"
"McLeod County, Minnesota",27085,94.7,27169,"150 of 3139"
"Oneida County, New York",36065,94.7,164866,"150 of 3139"
"Oswego County, New York",36075,94.7,88122,"150 of 3139"
"Plymouth County, Iowa",19149,94.7,19342,"150 of 3139"
"Warren County, Ohio",39165,94.7,186011,"150 of 3139"
"Washtenaw County, Michigan",26161,94.7,280290,"150 of 3139"
"Bucks County, Pennsylvania",42017,94.6,479762,"163 of 3139"
"Chautauqua County, New York",36013,94.6,90754,"163 of 3139"
"Cherokee County, Iowa",19035,94.6,7808,"163 of 3139"
"Franklin County, Vermont",50011,94.6,38542,"163 of 3139"
"Hamilton County, Iowa",19079,94.6,10960,"163 of 3139"
"Jackson County, Iowa",19097,94.6,14372,"163 of 3139"
"Olmsted County, Minnesota",27109,94.6,125098,"163 of 3139"
"Pierce County, Wisconsin",55093,94.6,32023,"163 of 3139"
"Allegany County, New York",36003,94.5,31087,"171 of 3139"
"Delaware County, Iowa",19055,94.5,12829,"171 of 3139"
"Frederick County, Maryland",24021,94.5,205838,"171 of 3139"
"Grundy County, Illinois",17063,94.5,41202,"171 of 3139"
"Jones County, Iowa",19105,94.5,14460,"171 of 3139"
"Logan County, Illinois",17107,94.5,18424,"171 of 3139"
"Mahaska County, Iowa",19123,94.5,16517,"171 of 3139"
"Monroe County, Michigan",26115,94.5,115355,"171 of 3139"
"Pleasants County, West Virginia",54073,94.5,5098,"171 of 3139"
"Rutland County, Vermont",50021,94.5,40684,"171 of 3139"
"Santa Clara County, California",06085,94.5,1567921,"171 of 3139"
"Scott County, Iowa",19163,94.5,133923,"171 of 3139"
"Seneca County, New York",36099,94.5,23597,"171 of 3139"
"Steele County, Minnesota",27147,94.5,27915,"171 of 3139"
"Tazewell County, Illinois",17179,94.5,98979,"171 of 3139"
"Westmoreland County, Pennsylvania",42129,94.5,249112,"171 of 3139"
"Beaver County, Pennsylvania",42007,94.4,118862,"187 of 3139"
"Boone County, Kentucky",21015,94.4,108423,"187 of 3139"
"Burleigh County, North Dakota",38015,94.4,72722,"187 of 3139"
"Hawaii County, Hawaii",15001,94.4,148160,"187 of 3139"
"Lucas County, Iowa",19117,94.4,6238,"187 of 3139"
"Meeker County, Minnesota",27093,94.4,17197,"187 of 3139"
"New York County, New York",36061,94.4,1233810,"187 of 3139"
"Polk County, Minnesota",27119,94.4,23349,"187 of 3139"
"Rock County, Minnesota",27133,94.4,6858,"187 of 3139"
"Rockland County, New York",36087,94.4,255339,"187 of 3139"
"Sac County, Iowa",19161,94.4,6921,"187 of 3139"
"Shelby County, Iowa",19165,94.4,8256,"187 of 3139"
"Washington County, Illinois",17189,94.4,10309,"187 of 3139"
"Black Hawk County, Iowa",19013,94.3,99127,"200 of 3139"
"Campbell County, Kentucky",21037,94.3,71992,"200 of 3139"
"Columbia County, New York",36021,94.3,41710,"200 of 3139"
"Delaware County, New York",36025,94.3,29444,"200 of 3139"
"Fayette County, Iowa",19065,94.3,13908,"200 of 3139"
"Gloucester County, New Jersey",34015,94.3,227983,"200 of 3139"
"Humboldt County, Iowa",19091,94.3,6972,"200 of 3139"
"Morris County, New Jersey",34027,94.3,379792,"200 of 3139"
"Oakland County, Michigan",26125,94.3,978699,"200 of 3139"
"Palo Alto County, Iowa",19147,94.3,6377,"200 of 3139"
"Piatt County, Illinois",17147,94.3,12355,"200 of 3139"
"Poquoson City, Virginia",51735,94.3,9331,"200 of 3139"
"Queen Annes County, Maryland",24035,94.3,38088,"200 of 3139"
"Sarpy County, Nebraska",31153,94.3,155438,"200 of 3139"
"Scott County, Illinois",17171,94.3,3742,"200 of 3139"
"St. Lawrence County, New York",36089,94.3,73730,"200 of 3139"
"Sussex County, New Jersey",34037,94.3,108644,"200 of 3139"
"Westchester County, New York",36119,94.3,741115,"200 of 3139"
"Wood County, Wisconsin",55141,94.3,53751,"200 of 3139"
"Woodford County, Illinois",17203,94.3,29083,"200 of 3139"
"Allegany County, Maryland",24001,94.2,46567,"220 of 3139"
"Blue Earth County, Minnesota",27013,94.2,51804,"220 of 3139"
"Cambria County, Pennsylvania",42021,94.2,89684,"220 of 3139"
"Cecil County, Maryland",24015,94.2,80810,"220 of 3139"
"Clinton County, Michigan",26037,94.2,61830,"220 of 3139"
"Elk County, Pennsylvania",42047,94.2,21679,"220 of 3139"
"Garfield County, Washington",53023,94.2,1546,"220 of 3139"
"Hennepin County, Minnesota",27053,94.2,1007124,"220 of 3139"
"Isanti County, Minnesota",27059,94.2,31669,"220 of 3139"
"McLean County, Illinois",17113,94.2,130617,"220 of 3139"
"Medina County, Ohio",39103,94.2,138235,"220 of 3139"
"Menard County, Illinois",17129,94.2,9145,"220 of 3139"
"Northampton County, Pennsylvania",42095,94.2,223364,"220 of 3139"
"Polk County, Iowa",19153,94.2,393266,"220 of 3139"
"Providence County, Rhode Island",44007,94.2,483797,"220 of 3139"
"Saginaw County, Michigan",26145,94.2,138556,"220 of 3139"
"San Mateo County, California",06081,94.2,606701,"220 of 3139"
"Stevens County, Minnesota",27149,94.2,6862,"220 of 3139"
"Union County, Ohio",39159,94.2,46344,"220 of 3139"
"Waseca County, Minnesota",27161,94.2,13444,"220 of 3139"
"Auglaize County, Ohio",39011,94.1,34652,"240 of 3139"
"Caledonia County, Vermont",50005,94.1,21088,"240 of 3139"
"Carlton County, Minnesota",27017,94.1,26473,"240 of 3139"
"Chester County, Pennsylvania",42029,94.1,405634,"240 of 3139"
"Clay County, Iowa",19041,94.1,11767,"240 of 3139"
"Columbia County, Wisconsin",55021,94.1,43284,"240 of 3139"
"Eaton County, Michigan",26045,94.1,82879,"240 of 3139"
"Hardin County, Iowa",19083,94.1,11689,"240 of 3139"
"Jersey County, Illinois",17083,94.1,15959,"240 of 3139"
"Johnson County, Iowa",19103,94.1,118281,"240 of 3139"
"Lincoln County, Wisconsin",55069,94.1,19798,"240 of 3139"
"Maui County, Hawaii",15009,94.1,127096,"240 of 3139"
"Monona County, Iowa",19133,94.1,6046,"240 of 3139"
"Monroe County, Iowa",19135,94.1,5719,"240 of 3139"
"Orleans County, New York",36073,94.1,28970,"240 of 3139"
"Ottawa County, Michigan",26139,94.1,226257,"240 of 3139"
"Page County, Iowa",19145,94.1,9618,"240 of 3139"
"Putnam County, West Virginia",54079,94.1,43262,"240 of 3139"
"Ulster County, New York",36111,94.1,127317,"240 of 3139"
"Washington County, Pennsylvania",42125,94.1,150475,"240 of 3139"
"Adams County, Iowa",19003,94.0,2557,"260 of 3139"
"Burlington County, New Jersey",34005,94.0,337963,"260 of 3139"
"Clinton County, Illinois",17027,94.0,27406,"260 of 3139"
"Effingham County, Illinois",17049,94.0,26049,"260 of 3139"
"Fond du Lac County, Wisconsin",55039,94.0,76264,"260 of 3139"
"Grant County, Minnesota",27051,94.0,4210,"260 of 3139"
"Hamilton County, Indiana",18057,94.0,279983,"260 of 3139"
"Hartford County, Connecticut",09003,94.0,675713,"260 of 3139"
"Iowa County, Wisconsin",55049,94.0,17872,"260 of 3139"
"Jackson County, Minnesota",27063,94.0,7026,"260 of 3139"
"Keweenaw County, Michigan",26083,94.0,1229,"260 of 3139"
"Lexington City, Virginia",51678,94.0,3386,"260 of 3139"
"Macon County, Illinois",17115,94.0,75143,"260 of 3139"
"Pottawattamie County, Iowa",19155,94.0,70219,"260 of 3139"
"Solano County, California",06095,94.0,343238,"260 of 3139"
"Traill County, North Dakota",38097,94.0,5879,"260 of 3139"
"Wyoming County, Pennsylvania",42131,94.0,19179,"260 of 3139"
"Adams County, Illinois",17001,93.9,47875,"277 of 3139"
"Arlington County, Virginia",51013,93.9,197045,"277 of 3139"
"Bennington County, Vermont",50003,93.9,24457,"277 of 3139"
"Benton County, Minnesota",27009,93.9,32449,"277 of 3139"
"Bullitt County, Kentucky",21029,93.9,64150,"277 of 3139"
"Cameron County, Pennsylvania",42023,93.9,2970,"277 of 3139"
"Hancock County, Kentucky",21091,93.9,6716,"277 of 3139"
"Howard County, Iowa",19089,93.9,6730,"277 of 3139"
"Keokuk County, Iowa",19107,93.9,7425,"277 of 3139"
"Litchfield County, Connecticut",09005,93.9,131779,"277 of 3139"
"Loudoun County, Virginia",51107,93.9,352397,"277 of 3139"
"Montgomery County, Iowa",19137,93.9,7227,"277 of 3139"
"Morgan County, Illinois",17137,93.9,22740,"277 of 3139"
"Muscatine County, Iowa",19139,93.9,32771,"277 of 3139"
"New London County, Connecticut",09011,93.9,193900,"277 of 3139"
"Schuylkill County, Pennsylvania",42107,93.9,99691,"277 of 3139"
"Shelby County, Illinois",17173,93.9,15521,"277 of 3139"
"Winnebago County, Wisconsin",55139,93.9,127839,"277 of 3139"
"Winona County, Minnesota",27169,93.9,35876,"277 of 3139"
"York County, Pennsylvania",42133,93.9,339893,"277 of 3139"
"Addison County, Vermont",50001,93.8,24969,"297 of 3139"
"Cass County, North Dakota",38017,93.8,145657,"297 of 3139"
"Dodge County, Wisconsin",55027,93.8,62273,"297 of 3139"
"Edwards County, Illinois",17047,93.8,4661,"297 of 3139"
"El Dorado County, California",06017,93.8,141405,"297 of 3139"
"Kittson County, Minnesota",27069,93.8,3003,"297 of 3139"
"Lee County, Illinois",17103,93.8,23058,"297 of 3139"
"Montour County, Pennsylvania",42093,93.8,13086,"297 of 3139"
"O'Brien County, Iowa",19141,93.8,10109,"297 of 3139"
"Spencer County, Kentucky",21215,93.8,15567,"297 of 3139"
"Wabasha County, Minnesota",27157,93.8,15600,"297 of 3139"
"Windham County, Vermont",50025,93.8,29150,"297 of 3139"
"Wood County, Ohio",39173,93.8,98074,"297 of 3139"
"Appanoose County, Iowa",19007,93.7,8851,"310 of 3139"
"Big Stone County, Minnesota",27011,93.7,3368,"310 of 3139"
"Cavalier County, North Dakota",38019,93.7,2559,"310 of 3139"
"Delaware County, Pennsylvania",42045,93.7,426556,"310 of 3139"
"Dickinson County, Michigan",26043,93.7,18103,"310 of 3139"
"Floyd County, Iowa",19067,93.7,11246,"310 of 3139"
"Hardin County, Kentucky",21093,93.7,85843,"310 of 3139"
"Jefferson County, Wisconsin",55055,93.7,63449,"310 of 3139"
"King County, Washington",53033,93.7,1819459,"310 of 3139"
"McKean County, Pennsylvania",42083,93.7,28025,"310 of 3139"
"Midland County, Michigan",26111,93.7,62580,"310 of 3139"
"Morton County, North Dakota",38059,93.7,24233,"310 of 3139"
"Nelson County, Kentucky",21179,93.7,36161,"310 of 3139"
"Orange County, Vermont",50017,93.7,20546,"310 of 3139"
"Pope County, Minnesota",27121,93.7,7869,"310 of 3139"
"Putnam County, Illinois",17155,93.7,4120,"310 of 3139"
"Scott County, Kentucky",21209,93.7,46023,"310 of 3139"
"Sheboygan County, Wisconsin",55117,93.7,85871,"310 of 3139"
"St. Clair County, Michigan",26147,93.7,119445,"310 of 3139"
"Sullivan County, New York",36105,93.7,54921,"310 of 3139"
"Union County, Iowa",19175,93.7,8779,"310 of 3139"
"Williamson County, Tennessee",47187,93.7,197201,"310 of 3139"
"Barry County, Michigan",26015,93.6,46298,"332 of 3139"
"DuPage County, Illinois",17043,93.6,719157,"332 of 3139"
"Foster County, North Dakota",38031,93.6,2316,"332 of 3139"
"Goochland County, Virginia",51075,93.6,16341,"332 of 3139"
"Grand Forks County, North Dakota",38035,93.6,53714,"332 of 3139"
"Greene County, Pennsylvania",42059,93.6,24651,"332 of 3139"
"Guthrie County, Iowa",19077,93.6,7674,"332 of 3139"
"Hancock County, Ohio",39063,93.6,57290,"332 of 3139"
"Kendall County, Illinois",17093,93.6,107898,"332 of 3139"
"Kitsap County, Washington",53035,93.6,200905,"332 of 3139"
"Madison County, Illinois",17119,93.6,200722,"332 of 3139"
"Marquette County, Michigan",26103,93.6,46678,"332 of 3139"
"Meade County, Kentucky",21163,93.6,22610,"332 of 3139"
"Mercer County, Illinois",17131,93.6,11215,"332 of 3139"
"Northumberland County, Pennsylvania",42097,93.6,63524,"332 of 3139"
"Rockingham County, New Hampshire",33015,93.6,236032,"332 of 3139"
"Shiawassee County, Michigan",26155,93.6,51012,"332 of 3139"
"Story County, Iowa",19169,93.6,70382,"332 of 3139"
"Windsor County, Vermont",50027,93.6,38564,"332 of 3139"
"Yellow Medicine County, Minnesota",27173,93.6,7085,"332 of 3139"
"Armstrong County, Pennsylvania",42005,93.5,46373,"352 of 3139"
"Clark County, Illinois",17023,93.5,11457,"352 of 3139"
"Contra Costa County, California",06013,93.5,904085,"352 of 3139"
"Craig County, Virginia",51045,93.5,3611,"352 of 3139"
"Crow Wing County, Minnesota",27035,93.5,46222,"352 of 3139"
"De Witt County, Illinois",17039,93.5,11612,"352 of 3139"
"Essex County, Vermont",50009,93.5,4189,"352 of 3139"
"Green County, Wisconsin",55045,93.5,27811,"352 of 3139"
"Kanabec County, Minnesota",27065,93.5,11900,"352 of 3139"
"Kenton County, Kentucky",21117,93.5,131901,"352 of 3139"
"La Salle County, Illinois",17099,93.5,79695,"352 of 3139"
"Le Sueur County, Minnesota",27079,93.5,22103,"352 of 3139"
"Livingston County, Illinois",17105,93.5,25124,"352 of 3139"
"Lyon County, Iowa",19119,93.5,8906,"352 of 3139"
"Martin County, Minnesota",27091,93.5,13778,"352 of 3139"
"Portage County, Wisconsin",55097,93.5,51961,"352 of 3139"
"Red Lake County, Minnesota",27125,93.5,2939,"352 of 3139"
"Sangamon County, Illinois",17167,93.5,146320,"352 of 3139"
"Sioux County, Iowa",19167,93.5,25415,"352 of 3139"
"Stark County, North Dakota",38089,93.5,25319,"352 of 3139"
"Warren County, Pennsylvania",42123,93.5,27560,"352 of 3139"
"Washington County, Iowa",19183,93.5,16291,"352 of 3139"
"Webster County, Iowa",19187,93.5,24860,"352 of 3139"
"Windham County, Connecticut",09015,93.5,87227,"352 of 3139"
"Boyle County, Kentucky",21021,93.4,19718,"376 of 3139"
"Cass County, Nebraska",31025,93.4,20017,"376 of 3139"
"Columbia County, Pennsylvania",42037,93.4,45534,"376 of 3139"
"Columbia County, Washington",53013,93.4,2627,"376 of 3139"
"Genesee County, Michigan",26049,93.4,305707,"376 of 3139"
"Gratiot County, Michigan",26057,93.4,26481,"376 of 3139"
"Greenup County, Kentucky",21089,93.4,25547,"376 of 3139"
"Island County, Washington",53029,93.4,57658,"376 of 3139"
"Lawrence County, Pennsylvania",42073,93.4,60408,"376 of 3139"
"Lincoln County, Minnesota",27081,93.4,3895,"376 of 3139"
"Lyon County, Minnesota",27083,93.4,19134,"376 of 3139"
"Manitowoc County, Wisconsin",55071,93.4,57717,"376 of 3139"
"Marshall County, Illinois",17123,93.4,8066,"376 of 3139"
"Randolph County, Illinois",17157,93.4,20296,"376 of 3139"
"Ransom County, North Dakota",38073,93.4,3800,"376 of 3139"
"Roseau County, Minnesota",27135,93.4,11454,"376 of 3139"
"Somerset County, New Jersey",34035,93.4,257043,"376 of 3139"
"Stearns County, Minnesota",27145,93.4,121277,"376 of 3139"
"Stephenson County, Illinois",17177,93.4,31427,"376 of 3139"
"Vermilion County, Illinois",17183,93.4,54137,"376 of 3139"
"Anderson County, Kentucky",21005,93.3,17702,"396 of 3139"
"Benton County, Oregon",41003,93.3,67459,"396 of 3139"
"Blair County, Pennsylvania",42013,93.3,87430,"396 of 3139"
"Carbon County, Pennsylvania",42025,93.3,46375,"396 of 3139"
"Chickasaw County, Iowa",19037,93.3,8719,"396 of 3139"
"Chippewa County, Wisconsin",55017,93.3,46955,"396 of 3139"
"Dunn County, Wisconsin",55033,93.3,32743,"396 of 3139"
"Grant County, Kentucky",21081,93.3,19606,"396 of 3139"
"Hamilton County, Illinois",17065,93.3,5849,"396 of 3139"
"Hanover County, Virginia",51085,93.3,80956,"396 of 3139"
"Kewaunee County, Wisconsin",55061,93.3,15031,"396 of 3139"
"King George County, Virginia",51099,93.3,21454,"396 of 3139"
"Lycoming County, Pennsylvania",42081,93.3,80444,"396 of 3139"
"Macoupin County, Illinois",17117,93.3,32896,"396 of 3139"
"Marshall County, Minnesota",27089,93.3,6700,"396 of 3139"
"Morrison County, Minnesota",27097,93.3,24561,"396 of 3139"
"Norman County, Minnesota",27107,93.3,4598,"396 of 3139"
"Ohio County, West Virginia",54069,93.3,28423,"396 of 3139"
"Orleans County, Vermont",50019,93.3,18719,"396 of 3139"
"Outagamie County, Wisconsin",55087,93.3,146842,"396 of 3139"
"Pierce County, North Dakota",38069,93.3,2682,"396 of 3139"
"Plumas County, California",06063,93.3,12255,"396 of 3139"
"Renville County, North Dakota",38075,93.3,1717,"396 of 3139"
"Seward County, Nebraska",31159,93.3,12260,"396 of 3139"
"Shelby County, Ohio",39149,93.3,37365,"396 of 3139"
"Stutsman County, North Dakota",38093,93.3,14134,"396 of 3139"
"Wabash County, Illinois",17185,93.3,8396,"396 of 3139"
"Wadena County, Minnesota",27159,93.3,9800,"396 of 3139"
"Washington County, Maryland",24043,93.3,109890,"396 of 3139"
"Washington County, Nebraska",31177,93.3,15805,"396 of 3139"
"Williamson County, Illinois",17199,93.3,48448,"396 of 3139"
"Wright County, Iowa",19197,93.3,8897,"396 of 3139"
"Yolo County, California",06113,93.3,170063,"396 of 3139"
"Burke County, North Dakota",38013,93.2,1556,"429 of 3139"
"Champaign County, Ohio",39021,93.2,29042,"429 of 3139"
"Christian County, Illinois",17021,93.2,22720,"429 of 3139"
"Clark County, Kentucky",21049,93.2,27314,"429 of 3139"
"Crawford County, Illinois",17033,93.2,12805,"429 of 3139"
"Defiance County, Ohio",39039,93.2,28113,"429 of 3139"
"Elliott County, Kentucky",21063,93.2,4583,"429 of 3139"
"Fairfield County, Ohio",39045,93.2,121240,"429 of 3139"
"Fayette County, Pennsylvania",42051,93.2,91333,"429 of 3139"
"Fulton County, Kentucky",21075,93.2,3949,"429 of 3139"
"Fulton County, Pennsylvania",42057,93.2,10400,"429 of 3139"
"Henry County, Illinois",17073,93.2,35589,"429 of 3139"
"Hopkins County, Kentucky",21107,93.2,32940,"429 of 3139"
"Kalamazoo County, Michigan",26077,93.2,202786,"429 of 3139"
