Incidence Rate Report for United States by HSA

"Melanoma of the Skin (All Stages^), 2014-2018"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Health Service Area, HSA_Code,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Mitchell, IA(7)",0665,***,36.9 ,21.7, 58.5,N/A , 1 , 33,4,*,*,*,*
"Chittenden (Burlington), VT - Franklin, VT(7)",0049,***,36.8 ,33.7, 40.2,N/A , 2 , 7,109,rising,2.2 ,0.6, 3.8
"Brevard (Palm Bay), FL - Indian River, FL(7)",0237,***,36.6 ,34.9, 38.4,N/A , 1 , 3,418,stable,-3.5 ,-8.8, 2.2
"Boone, IN(7)",0401,***,36.4 ,30.1, 43.6,N/A , 1 , 7,24,stable,2.2 ,-1.3, 5.8
"Custer, NE - Valley, NE(7)",0594,***,36.4 ,25.9, 49.7,N/A , 1 , 16,10,rising,8.8 ,4.0, 13.8
"Klamath, OR - Lake, OR(7)",0743,***,36.2 ,30.6, 42.6,N/A , 1 , 3,34,stable,-15.0 ,-29.7, 2.8
"Polk, NC(7)",0191,***,36.2 ,26.2, 49.2,N/A , 1 , 24,12,*,*,*,*
"McLean (Bloomington), IL - Woodford, IL(7)",0338,***,36.2 ,32.7, 39.9,N/A , 1 , 6,85,rising,3.1 ,1.6, 4.7
"Iredell (Statesville), NC - Alexander, NC(7)",0192,***,36.1 ,32.8, 39.6,N/A , 1 , 8,92,rising,5.1 ,3.1, 7.2
"Taylor, KY - Adair, KY(7)",0082,***,35.9 ,30.3, 42.3,N/A , 1 , 16,32,rising,3.0 ,0.6, 5.5
"Rutland, VT(7)",0122,***,35.9 ,30, 42.7,N/A , 2 , 7,30,stable,1.8 ,-1.0, 4.7
"Cherokee, GA - Douglas, GA(7)",0826,***,35.7 ,33.5, 38.1,N/A , 3 , 8,207,stable,-6.7 ,-15.6, 3.1
"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA(7)",0781,***,35.7 ,33.9, 37.6,N/A , 4 , 9,307,stable,-1.5 ,-3.9, 1.0
"Sarasota (Sarasota), FL - Charlotte, FL(7)",0213,***,35.5 ,33.8, 37.4,N/A , 1 , 3,453,rising,5.4 ,3.7, 7.1
"Franklin, KY - Anderson, KY(7)",0114,***,35.5 ,30.2, 41.5,N/A , 1 , 15,35,rising,2.7 ,0.6, 4.8
"Atlantic (Atlantic City), NJ - Cape May, NJ(7)",0064,***,35.3 ,32.9, 37.8,N/A , 1 , 2,177,rising,2.2 ,1.0, 3.4
"Butte (Chico), CA - Tehama, CA(7)",0697,***,35.2 ,32.5, 38.1,N/A , 4 , 9,139,rising,4.3 ,3.0, 5.6
"Carroll, GA - Haralson, GA(7)",0896,***,35 ,30.9, 39.6,N/A , 2 , 10,53,rising,2.7 ,1.1, 4.4
"Augusta, VA - Staunton City, VA(7)",0097,***,35 ,31.4, 38.9,N/A , 1 , 4,76,rising,5.5 ,3.3, 7.7
"Shasta (Redding), CA - Trinity, CA(7)",0710,***,34.9 ,31.6, 38.5,N/A , 4 , 10,94,rising,2.6 ,0.9, 4.2
"Miami (Piqua), OH - Shelby, OH(7)",0376,***,34.5 ,30.6, 38.7,N/A , 1 , 4,63,rising,5.7 ,3.0, 8.4
"Sussex, DE - Kent, DE(7)",0003,***,34.4 ,32.2, 36.9,N/A , N/A , N/A,193,stable,0.4 ,-2.6, 3.5
"Franklin, ID - Bear Lake, ID(7)",0715,***,34.4 ,23.9, 48,N/A , 1 , 9,7,stable,3.4 ,-1.7, 8.6
"Lawrence, SD(7)",0586,***,34.3 ,25, 46.1,N/A , 1 , 9,11,stable,4.5 ,-0.4, 9.6
"Clallam, WA - Jefferson, WA(7)",0785,***,34.3 ,30.1, 38.9,N/A , 1 , 3,65,rising,2.6 ,1.6, 3.6
"McDowell, NC(7)",0261,***,34 ,27.5, 41.7,N/A , 1 , 21,20,stable,2.0 ,-2.1, 6.3
"Windham, VT(7)",0877,***,34 ,27, 42.4,N/A , 2 , 7,19,stable,1.4 ,-1.9, 4.9
"Spartanburg (Spartanburg), SC - Cherokee, SC(7)",0898,***,33.9 ,31.5, 36.5,N/A , 2 , 2,154,stable,2.5 ,0.0, 5.1
"Adams, IL - Pike, IL(7)",0353,***,33.8 ,28.7, 39.6,N/A , 1 , 16,34,rising,5.4 ,2.8, 8.0
"Clinton, KY - Cumberland, KY(7)",0104,***,33.8 ,22.8, 48.3,N/A , 1 , 29,7,stable,1.3 ,-3.4, 6.3
"Adams, NE - Clay, NE(7)",0564,***,33.7 ,26.7, 42,N/A , 1 , 13,18,stable,2.4 ,-1.4, 6.3
"Chase, NE - Dundy, NE(7)",0654,***,33.6 ,18.4, 57.6,N/A , 1 , 22,3,*,*,*,*
"Yancey, NC - Avery, NC(7)",0240,***,33.4 ,27.4, 40.5,N/A , 1 , 22,25,rising,4.6 ,1.8, 7.5
"Clayton, IA - Delaware, IA(7)",0350,***,33.4 ,25.6, 42.8,N/A , 2 , 29,15,rising,3.8 ,2.3, 5.3
"Grand Traverse, MI - Manistee, MI(7)",0271,***,33.3 ,30.1, 36.8,N/A , 1 , 1,92,stable,1.3 ,-0.6, 3.2
"Catawba (Hickory), NC - Burke, NC(7)",0229,***,33.3 ,30.8, 35.9,N/A , 1 , 11,141,rising,3.1 ,1.8, 4.4
"Bonneville, ID - Madison, ID(7)",0722,***,33.1 ,29.5, 37,N/A , 1 , 5,64,rising,3.1 ,1.3, 5.0
"Carroll, IA - Sac, IA(7)",0633,***,32.9 ,25.9, 41.4,N/A , 3 , 27,18,rising,4.0 ,2.5, 5.6
"Brown, SD - Spink, SD(7)",0572,***,32.9 ,27, 39.6,N/A , 1 , 7,26,rising,5.7 ,2.7, 8.7
"Humboldt, CA(7)",0800,***,32.8 ,28.8, 37.2,N/A , 4 , 14,53,stable,1.4 ,-0.8, 3.7
"McCracken, KY - Graves, KY(7)",0855,***,32.8 ,29.4, 36.5,N/A , 1 , 15,76,stable,1.6 ,-0.4, 3.7
"Utah (Provo), UT - Sanpete, UT(7)",0703,***,32.7 ,30.4, 35.1,N/A , 6 , 7,157,rising,2.3 ,1.8, 2.9
"York (York), PA - Adams, PA(7)",0868,***,32.6 ,30.6, 34.6,N/A , 1 , 3,222,rising,2.2 ,1.4, 3.1
"Deschutes, OR - Crook, OR(7)",0719,***,32.5 ,29.6, 35.7,N/A , 1 , 3,101,stable,-15.9 ,-32.5, 4.7
"Cumberland (Portland), ME - Knox, ME(7)",0009,***,32.4 ,30.2, 34.7,N/A , 1 , 3,171,rising,1.6 ,0.6, 2.6
"Hunterdon, NJ - Warren (Phillipsburg), NJ(7)",0093,***,32.4 ,29.4, 35.5,N/A , 1 , 3,99,stable,1.0 ,-0.6, 2.7
"Hamilton, IN - Madison (Anderson), IN(7)",0390,***,32.4 ,30.1, 34.8,N/A , 1 , 6,153,rising,3.4 ,1.7, 5.2
"Monmouth, NJ - Ocean (Brick Township), NJ(7)",0108,***,32.3 ,31, 33.6,N/A , 2 , 3,525,stable,-1.0 ,-2.7, 0.7
"Chaffee, CO - Lake, CO(7)",0786,***,32.3 ,24, 42.7,N/A , 1 , 7,12,stable,3.6 ,-0.5, 7.9
"Minnehaha (Sioux Falls), SD - Lincoln, SD(7)",0939,***,32.2 ,29.3, 35.3,N/A , 1 , 6,98,rising,5.7 ,4.4, 7.1
"New Hanover (Wilmington), NC - Brunswick, NC(7)",0168,***,32.1 ,30, 34.4,N/A , 2 , 12,182,rising,4.7 ,2.3, 7.3
"Cass (Fargo), ND - Richland, ND(7)",0940,***,31.9 ,28.5, 35.5,N/A , 1 , 1,71,rising,5.4 ,3.4, 7.5
"Morgan (Decatur), AL - Lawrence, AL(7)",0185,***,31.9 ,28.2, 35.9,N/A , 1 , 4,58,stable,2.1 ,-15.7, 23.6
"Accomack, VA - Northampton, VA(7)",0137,***,31.9 ,25.8, 39.1,N/A , 1 , 7,23,stable,-0.1 ,-2.4, 2.2
"Gaston (Gastonia), NC - Cleveland, NC(7)",0218,***,31.7 ,29.6, 34,N/A , 3 , 14,178,rising,5.1 ,3.5, 6.7
"Gilmer, GA - Fannin, GA(7)",0173,***,31.7 ,26.1, 38.2,N/A , 2 , 18,28,stable,2.0 ,-0.3, 4.4
"Eau Claire (Eau Claire), WI - Chippewa, WI(7)",0298,***,31.6 ,28.6, 34.9,N/A , 1 , 7,84,rising,4.5 ,0.2, 9.0
"Vermilion, IL - Edgar, IL(7)",0333,***,31.6 ,27.1, 36.7,N/A , 1 , 20,38,rising,5.6 ,2.6, 8.6
"Multnomah (Portland), OR - Washington, OR(7)",0689,***,31.6 ,30.5, 32.7,N/A , 1 , 3,657,stable,-3.8 ,-9.4, 2.1
"Hancock, IL(7)",0367,***,31.5 ,21.7, 44.5,N/A , 1 , 32,8,stable,3.0 ,-0.7, 6.8
"Carter, OK - Marshall, OK(7)",0474,***,31.4 ,26.8, 36.8,N/A , 1 , 7,34,rising,7.5 ,4.2, 10.9
"Champaign (Champaign), IL - Coles, IL(7)",0279,***,31.4 ,28.6, 34.5,N/A , 1 , 14,98,stable,-1.1 ,-15.5, 15.7
"Rockingham, NH(7)",0874,***,31.4 ,28.9, 34.2,N/A , 3 , 5,122,stable,0.6 ,-1.2, 2.3
"Penobscot (Bangor), ME - Hancock, ME(7)",0017,***,31.4 ,28.6, 34.4,N/A , 1 , 3,107,rising,10.7 ,5.8, 15.7
"Ada (Boise City), ID - Canyon, ID(7)",0716,***,31.4 ,29.6, 33.3,N/A , 2 , 5,239,rising,1.9 ,0.9, 2.9
"Polk (Lakeland), FL - Highlands, FL(7)",0202,***,31.3 ,29.8, 32.9,N/A , 4 , 7,349,rising,1.7 ,0.4, 2.9
"Woodbury (Sioux City), IA - Plymouth, IA(7)",0560,***,31.3 ,27.8, 35.1,N/A , 6 , 21,63,rising,10.0 ,3.5, 17.0
"Cobb (Marietta), GA(7)",0190,***,31.3 ,29.4, 33.2,N/A , 5 , 11,236,falling,-7.2 ,-11.0, -3.1
"Lamar, AL(7)",0461,***,31.2 ,19.7, 47.1,N/A , 1 , 15,5,*,*,*,*
"Newport News City, VA - Hampton City, VA(7)",0005,***,31.1 ,29.1, 33.2,N/A , 1 , 5,193,rising,2.7 ,0.5, 4.9
"Douglas (Omaha), NE - Sarpy, NE(7)",0542,***,31.1 ,29.4, 32.8,N/A , 2 , 9,274,rising,5.4 ,4.2, 6.6
"King (Seattle), WA - Snohomish, WA(7)",0736,***,31 ,30.2, 31.9,N/A , 1 , 4,1170,stable,0.4 ,-0.4, 1.2
"Daviess (Owensboro), KY - Ohio, KY(7)",0913,***,30.9 ,27.1, 35,N/A , 2 , 20,52,rising,3.2 ,1.5, 4.9
"Hillsborough (Manchester), NH - Merrimack, NH(7)",0091,***,30.9 ,29.1, 32.7,N/A , 3 , 5,260,stable,-3.4 ,-9.4, 2.9
"Franklin, PA - Fulton, PA(7)",0872,***,30.8 ,27.4, 34.4,N/A , 1 , 7,67,rising,2.0 ,0.1, 4.0
"Boyle, KY - Lincoln, KY(7)",0027,***,30.6 ,26.5, 35.3,N/A , 2 , 21,42,rising,2.2 ,0.4, 4.1
"Inyo, CA - Mono, CA(7)",0816,***,30.6 ,23.5, 39.3,N/A , 3 , 23,14,stable,-21.5 ,-42.9, 7.9
"Hamblen (Morristown), TN - Jefferson, TN(7)",0217,***,30.6 ,26.9, 34.6,N/A , 1 , 7,56,stable,-0.6 ,-2.6, 1.4
"Yellowstone (Billings), MT - Big Horn, MT(7)",0691,***,30.5 ,27.4, 34,N/A , 4 , 7,74,stable,2.0 ,0.0, 4.0
"Macon (Decatur), IL - Shelby, IL(7)",0305,***,30.5 ,27, 34.4,N/A , 1 , 19,61,rising,4.4 ,2.3, 6.6
"Park, WY - Big Horn, WY(7)",0749,***,30.4 ,23.9, 38.3,N/A , 1 , 8,17,stable,2.8 ,-0.6, 6.4
"Moore, NC - Richmond, NC(7)",0205,***,30.4 ,27.5, 33.5,N/A , 3 , 19,87,rising,2.9 ,1.2, 4.7
"Marion, MO - Pike, MO(7)",0920,***,30.3 ,24.8, 36.7,N/A , 1 , 4,23,stable,3.4 ,-0.7, 7.7
"Jackson, NC - Macon, NC(7)",0209,***,30.3 ,26.1, 35.1,N/A , 2 , 22,43,rising,4.2 ,2.3, 6.2
"Walworth, WI - Jefferson, WI(7)",0387,***,30.3 ,27.1, 33.8,N/A , 1 , 11,69,rising,4.2 ,2.8, 5.6
"Brookings, SD - Kingsbury, SD(7)",0610,***,30.2 ,22.7, 39.5,N/A , 1 , 10,11,stable,2.3 ,-0.9, 5.6
"Rockingham, VA - Harrisonburg City, VA(7)",0063,***,30.2 ,26.7, 34.2,N/A , 1 , 6,55,rising,2.7 ,0.2, 5.3
"Fillmore, NE - Thayer, NE(7)",0658,***,30.2 ,17.2, 49.3,N/A , 1 , 22,4,stable,0.7 ,-4.8, 6.5
"Licking (Newark), OH - Knox, OH(7)",0388,***,30.1 ,27.2, 33.3,N/A , 1 , 12,81,rising,8.6 ,2.6, 15.0
"Montrose, CO - Delta, CO(7)",0761,***,30.1 ,25.9, 34.9,N/A , 1 , 5,41,stable,2.9 ,-0.6, 6.5
"Orange, CA(7)",0833,***,30.1 ,29.3, 30.9,N/A , 8 , 12,1063,stable,2.9 ,-0.5, 6.4
"Lee (Cape Coral), FL - Collier, FL(7)",0165,***,30.1 ,28.9, 31.3,N/A , 4 , 8,599,rising,5.9 ,3.3, 8.6
"Boulder, CO - Broomfield, CO(7)",0795,***,30 ,27.7, 32.6,N/A , 1 , 4,124,rising,1.8 ,0.6, 3.1
