Incidence Rate Report for United States by HSA

"Melanoma of the Skin (All Stages^), 2014-2018"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Health Service Area, HSA_Code,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Bannock, ID - Bingham, ID(7)",0696,***,28.2 ,24.5, 32.3,N/A , 2 , 8,44,rising,3.0 ,0.4, 5.6
"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ(7)",0087,***,28.2 ,26.5, 30,N/A , 4 , 4,226,stable,0.6 ,0.0, 1.3
"Washington (Johnson City), TN - Carter, TN(7)",0169,***,28.2 ,25.2, 31.4,N/A , 1 , 8,73,stable,-7.2 ,-15.7, 2.2
"Alamance, NC(7)",0267,***,28.2 ,24.9, 31.8,N/A , 5 , 23,55,stable,0.8 ,-1.8, 3.5
"Montgomery (Dayton), OH - Greene, OH(7)",0295,***,28.1 ,26.6, 29.7,N/A , 2 , 12,269,rising,3.7 ,1.9, 5.6
"Saline, IL - Gallatin, IL(7)",0384,***,28.1 ,21.6, 36.1,N/A , 1 , 31,14,stable,1.3 ,-2.5, 5.2
"White, AR - Cleburne, AR(7)",0457,***,28.1 ,24.1, 32.6,N/A , 1 , 7,38,stable,2.6 ,-22.2, 35.3
"Sangamon (Springfield), IL - Christian, IL(7)",0318,***,28 ,25.7, 30.5,N/A , 4 , 22,112,stable,3.6 ,-6.0, 14.1
"Houston (Dothan), AL - Dale, AL(7)",0162,***,28 ,25.5, 30.7,N/A , 1 , 7,95,rising,5.3 ,3.8, 6.8
"Codington, SD - Grant, SD(7)",0568,***,28 ,22, 35.1,N/A , 1 , 10,17,rising,10.4 ,5.7, 15.4
"Allamakee, IA(7)",0290,***,27.9 ,17.3, 42.9,N/A , 2 , 33,5,*,*,*,*
"Marion (Ocala), FL - Citrus, FL(7)",0233,***,27.9 ,26.2, 29.8,N/A , 6 , 11,247,rising,3.1 ,2.1, 4.2
"Scott (Davenport), IA - Muscatine, IA(7)",0641,***,27.9 ,24.9, 31.1,N/A , 9 , 27,68,rising,3.2 ,2.3, 4.2
"Rock Island (Moline), IL - Henry, IL(7)",0307,***,27.8 ,25, 30.9,N/A , 4 , 24,77,rising,2.8 ,1.3, 4.3
"Morgan, IL - Greene, IL(7)",0319,***,27.8 ,22.4, 34.2,N/A , 1 , 30,20,rising,5.0 ,1.8, 8.3
"Sheboygan (Sheboygan), WI - Manitowoc, WI(7)",0355,***,27.8 ,25.1, 30.7,N/A , 1 , 14,83,stable,1.0 ,-0.6, 2.6
"Maricopa (Phoenix), AZ - Pinal, AZ(7)",0699,***,27.8 ,27.2, 28.4,N/A , 2 , 2,1613,rising,9.2 ,6.5, 11.9
"Dubois, IN(7)",0394,***,27.7 ,21.1, 35.8,N/A , 1 , 24,13,stable,2.9 ,-1.0, 6.9
"Mifflin, PA - Huntingdon, PA(7)",0110,***,27.7 ,24, 31.9,N/A , 1 , 16,43,rising,2.5 ,0.4, 4.6
"San Diego (San Diego), CA - Imperial, CA(7)",0774,***,27.7 ,26.9, 28.5,N/A , 10 , 15,1027,stable,0.1 ,-0.5, 0.7
"Duval (Jacksonville), FL - Clay, FL(7)",0158,***,27.7 ,26.4, 29,N/A , 7 , 11,382,rising,4.7 ,3.7, 5.7
"Poweshiek, IA(7)",0686,***,27.6 ,18.3, 40.2,N/A , 3 , 33,7,*,*,*,*
"Franklin, IN(7)",0270,***,27.6 ,19.1, 38.7,N/A , 1 , 28,7,stable,4.7 ,-0.5, 10.2
"Fountain, IN - Warren, IN(7)",0915,***,27.6 ,19.7, 37.8,N/A , 1 , 26,9,rising,9.3 ,4.5, 14.3
"Mendocino, CA(7)",0811,***,27.5 ,23.3, 32.4,N/A , 7 , 21,35,stable,0.7 ,-1.0, 2.4
"Hughes, SD - Stanley, SD(7)",0629,***,27.5 ,19.8, 37.4,N/A , 1 , 11,9,rising,7.7 ,1.4, 14.4
"Newton (Covington), GA(7)",0827,***,27.5 ,23.2, 32.4,N/A , 5 , 24,30,stable,1.3 ,-0.7, 3.3
"Wilkes, NC(7)",0256,***,27.4 ,22.7, 33,N/A , 3 , 25,26,rising,3.6 ,1.7, 5.5
"Clarke (Athens), GA - Barrow, GA(7)",0829,***,27.4 ,25, 30.1,N/A , 7 , 18,96,stable,-6.4 ,-17.1, 5.6
"Cleveland (Norman), OK - McClain, OK(7)",0430,***,27.4 ,25, 30,N/A , 1 , 8,101,rising,3.7 ,1.8, 5.6
"La Crosse (La Crosse), WI - Monroe, WI(7)",0908,***,27.4 ,24.5, 30.5,N/A , 2 , 16,71,rising,4.5 ,3.1, 5.9
"Floyd, KY - Johnson, KY(7)",0011,***,27.3 ,22.4, 33,N/A , 3 , 28,23,rising,8.2 ,1.3, 15.6
"Scioto, OH - Ross, OH(7)",0916,***,27.3 ,24.2, 30.7,N/A , 2 , 21,59,rising,3.0 ,0.7, 5.3
"Mobile (Mobile), AL - Baldwin, AL(7)",0161,***,27.2 ,25.6, 28.9,N/A , 2 , 7,223,rising,4.7 ,3.8, 5.7
"Boyd, KY - Greenup, KY(7)",0046,***,27.2 ,23.7, 31.2,N/A , 5 , 26,46,rising,1.6 ,0.3, 2.9
"Strafford (Rochester), NH(7)",0879,***,27.2 ,23.3, 31.6,N/A , 4 , 6,37,stable,2.2 ,-0.5, 5.0
"Lorain (Lorain), OH - Erie, OH(7)",0366,***,27.2 ,25.3, 29.2,N/A , 2 , 16,171,rising,2.8 ,1.5, 4.1
"Baltimore, MD - Baltimore City, MD(7)",0016,***,27.2 ,26.3, 28.1,N/A , 5 , 7,803,rising,1.8 ,1.0, 2.5
"La Salle, IL - Livingston, IL(7)",0336,***,27.1 ,24.1, 30.5,N/A , 4 , 26,64,rising,3.2 ,1.6, 4.8
"Forsyth (Winston-Salem), NC - Surry, NC(7)",0149,***,27.1 ,25.3, 28.9,N/A , 10 , 23,187,stable,-2.3 ,-5.0, 0.5
"Stark (Canton), OH - Wayne, OH(7)",0347,***,27.1 ,25.4, 28.8,N/A , 2 , 16,218,rising,2.3 ,0.7, 3.8
"Onslow, NC - Craven, NC(7)",0242,***,27.1 ,24.8, 29.5,N/A , 9 , 23,112,rising,2.1 ,0.6, 3.5
"Silver Bow, MT - Deer Lodge, MT(7)",0742,***,27 ,21.5, 33.7,N/A , 4 , 9,18,stable,1.3 ,-1.1, 3.8
"Ventura, CA(7)",0790,***,27 ,25.5, 28.6,N/A , 10 , 16,262,stable,-0.1 ,-1.1, 0.8
"Park, MT - Sweet Grass, MT(7)",0756,***,27 ,19.2, 37.3,N/A , 3 , 11,9,stable,-8.2 ,-20.3, 5.7
"Guthrie, IA - Greene, IA(7)",0617,***,26.9 ,18.5, 38.2,N/A , 4 , 33,8,stable,2.2 ,-0.2, 4.6
"Williamson, IL - Jackson, IL(7)",0331,***,26.9 ,23.9, 30.2,N/A , 4 , 26,61,rising,3.6 ,1.9, 5.3
"Dearborn, IN - Jefferson (Madison), IN(7)",0321,***,26.9 ,23.2, 31,N/A , 2 , 16,42,rising,2.7 ,1.0, 4.5
"Alleghany, NC(7)",0073,***,26.8 ,16.4, 42.5,N/A , 1 , 32,5,stable,3.4 ,-4.2, 11.6
"Clinton, IA(7)",0921,***,26.8 ,21.1, 33.8,N/A , 7 , 32,16,rising,2.6 ,1.4, 3.8
"Summit (Akron), OH - Portage, OH(7)",0352,***,26.8 ,25.3, 28.3,N/A , 3 , 16,283,rising,4.4 ,2.7, 6.1
"Dauphin (Harrisburg), PA - Cumberland, PA(7)",0043,***,26.7 ,25.2, 28.4,N/A , 3 , 11,234,rising,1.4 ,0.4, 2.4
"Chautauqua, NY(7)",0106,***,26.7 ,23, 30.8,N/A , 1 , 13,43,rising,3.0 ,1.4, 4.5
"Madison, NE - Wayne, NE(7)",0577,***,26.7 ,21.3, 33,N/A , 2 , 19,19,rising,4.1 ,1.5, 6.8
"Jefferson, IL - Wayne, IL(7)",0335,***,26.6 ,21.3, 32.9,N/A , 2 , 31,19,stable,2.0 ,-0.5, 4.6
"Washburn, WI - Burnett, WI(7)",0314,***,26.5 ,19.5, 35.5,N/A , 1 , 23,13,rising,11.0 ,6.7, 15.5
"Dane (Madison), WI - Sauk, WI(7)",0301,***,26.5 ,24.9, 28.2,N/A , 3 , 15,220,rising,3.6 ,1.9, 5.4
"Brown (Green Bay), WI - Oconto, WI(7)",0278,***,26.5 ,24.2, 28.9,N/A , 3 , 16,106,falling,-4.5 ,-8.6, -0.2
"Ottawa (Holland), MI - Allegan, MI(7)",0320,***,26.5 ,24.3, 28.8,N/A , 2 , 8,114,stable,1.4 ,-0.2, 3.0
"Kauai, HI(7)",0822,***,26.5 ,21.9, 31.8,N/A , 1 , 2,26,stable,22.8 ,-0.2, 51.2
"Washington (Hagerstown), MD(7)",0072,***,26.4 ,23.2, 30,N/A , 5 , 7,50,rising,5.3 ,0.9, 10.0
"Page, IA - Fremont, IA(7)",0644,***,26.3 ,19.1, 35.6,N/A , 6 , 33,10,rising,4.5 ,2.2, 6.9
"Washington (Fayetteville), AR - Benton, AR(7)",0446,***,26.3 ,24.3, 28.4,N/A , 1 , 7,131,stable,1.8 ,-0.5, 4.1
"Lawrence, OH(7)",0980,***,26.3 ,21.1, 32.3,N/A , 1 , 27,19,stable,2.2 ,-1.5, 5.9
"Stephenson, IL - Jo Daviess, IL(7)",0302,***,26.2 ,21.5, 31.8,N/A , 3 , 31,25,rising,5.7 ,3.1, 8.4
"Tioga, PA(7)",0128,***,26.2 ,20.2, 33.7,N/A , 1 , 25,14,stable,2.5 ,-1.1, 6.1
"Twin Falls, ID - Jerome, ID(7)",0695,***,26.2 ,22.4, 30.4,N/A , 4 , 10,36,stable,0.6 ,-1.3, 2.6
"Pottawattamie (Council Bluffs), IA - Harrison, IA(7)",0596,***,26.1 ,22.8, 29.8,N/A , 11 , 30,49,rising,4.0 ,3.0, 5.1
"Garfield (Enid), OK - Kingfisher, OK(7)",0429,***,26.1 ,22.3, 30.4,N/A , 1 , 15,36,stable,2.4 ,-0.6, 5.5
"Elbert, GA - Wilkes, GA(7)",0253,***,26.1 ,18.8, 35.4,N/A , 3 , 38,10,rising,6.2 ,2.3, 10.3
"Otsego, NY - Chenango, NY(7)",0058,***,26.1 ,23.1, 29.4,N/A , 1 , 13,65,rising,3.6 ,2.0, 5.3
"Outagamie (Appleton), WI - Waupaca, WI(7)",0344,***,26.1 ,23.3, 29,N/A , 2 , 17,70,falling,-6.1 ,-10.0, -2.1
"Pasquotank, NC - Dare, NC(7)",0264,***,26.1 ,22.1, 30.6,N/A , 6 , 25,33,stable,1.6 ,-1.0, 4.3
"Fulton (Atlanta), GA - DeKalb, GA(7)",0153,***,26 ,25.2, 26.9,N/A , 9 , 18,724,stable,-1.0 ,-6.2, 4.5
"St. Lawrence, NY - Jefferson, NY(7)",0080,***,26 ,23.3, 29,N/A , 1 , 12,71,rising,4.0 ,2.3, 5.7
"Schuylkill, PA - Northumberland, PA(7)",0008,***,26 ,23.8, 28.3,N/A , 3 , 15,118,rising,2.1 ,1.2, 3.0
"Rock (Janesville), WI - Green, WI(7)",0326,***,26 ,23.2, 29.1,N/A , 2 , 18,66,rising,2.5 ,0.3, 4.8
"Lee (Auburn), AL - Elmore, AL(7)",0179,***,26 ,23.4, 28.7,N/A , 2 , 8,80,rising,5.2 ,3.5, 7.0
"Madison (Huntsville), AL - Limestone, AL(7)",0210,***,25.9 ,24, 27.9,N/A , 2 , 8,147,rising,3.9 ,2.3, 5.5
"Wake (Raleigh), NC - Johnston, NC(7)",0198,***,25.9 ,24.7, 27.1,N/A , 14 , 23,360,stable,-5.6 ,-14.3, 4.1
"Mason, KY - Fleming, KY(7)",0116,***,25.9 ,19.6, 33.6,N/A , 2 , 30,12,stable,0.5 ,-3.0, 4.2
"Fergus, MT - Petroleum, MT(7)",0810,***,25.9 ,14.4, 42.9,N/A , 1 , 12,4,stable,2.0 ,-4.6, 8.9
"Pulaski (Little Rock), AR - Faulkner, AR(7)",0432,***,25.8 ,24.3, 27.4,N/A , 1 , 7,227,stable,2.6 ,-0.6, 5.9
"Cabarrus (Concord), NC - Rowan, NC(7)",0235,***,25.8 ,23.7, 28,N/A , 12 , 24,120,stable,-1.6 ,-4.1, 1.0
"Hamilton (Chattanooga), TN - Marion, TN(7)",0885,***,25.8 ,23.7, 27.9,N/A , 3 , 9,126,stable,-1.5 ,-3.4, 0.5
"Cassia, ID - Minidoka, ID(7)",0730,***,25.7 ,19.5, 33.3,N/A , 2 , 11,12,rising,4.8 ,2.4, 7.3
"Cherokee, NC - Clay, NC(7)",0258,***,25.7 ,19.7, 33.2,N/A , 3 , 27,16,stable,-2.0 ,-6.3, 2.6
"Forrest, MS - Lamar, MS(7)",0409,***,25.7 ,22.5, 29.2,N/A , 1 , 6,49,*,*,*,*
"Scotts Bluff, NE - Box Butte, NE(7)",0580,***,25.6 ,20.2, 32.1,N/A , 3 , 20,17,stable,2.2 ,-0.7, 5.2
"Highland, OH - Clinton, OH(7)",0372,***,25.6 ,21.2, 30.6,N/A , 2 , 27,26,rising,3.8 ,1.8, 5.8
"Rowan, KY - Morgan, KY(7)",0067,***,25.6 ,19.8, 32.5,N/A , 4 , 30,14,stable,1.0 ,-1.7, 3.8
"Mercer, PA(7)",0918,***,25.5 ,21.8, 29.7,N/A , 2 , 20,39,rising,3.5 ,0.7, 6.4
"Le Flore, OK - Sequoyah, OK(7)",0927,***,25.5 ,21.5, 30,N/A , 1 , 16,32,rising,25.5 ,10.6, 42.5
"Greenbrier, WV - Monroe, WV(7)",0862,***,25.5 ,20.1, 31.9,N/A , 1 , 13,18,stable,1.1 ,-2.2, 4.5
"Cumberland, TN - Fentress, TN(7)",0223,***,25.4 ,21.6, 29.8,N/A , 1 , 14,37,stable,-1.4 ,-3.4, 0.7
"Hancock, OH - Seneca, OH(7)",0386,***,25.4 ,21.9, 29.4,N/A , 2 , 26,40,stable,2.0 ,-0.7, 4.7
"Hamilton (Cincinnati), OH - Butler, OH(7)",0901,***,25.4 ,24.4, 26.5,N/A , 7 , 18,481,stable,-4.0 ,-8.9, 1.2
"Crawford, IL - Lawrence, IL(7)",0310,***,25.4 ,19.3, 33,N/A , 2 , 33,12,stable,2.8 ,-2.0, 7.9
"Davison, SD - Charles Mix, SD(7)",0615,***,25.4 ,19.8, 32.1,N/A , 2 , 11,16,rising,4.9 ,0.7, 9.4
"Marshall, IA - Tama, IA(7)",0679,***,25.4 ,20, 31.8,N/A , 9 , 32,17,rising,2.3 ,0.8, 3.7
"Muskingum, OH - Guernsey, OH(7)",0377,***,25.4 ,22.7, 28.3,N/A , 3 , 25,72,stable,0.9 ,-0.8, 2.7
"Buffalo, NE - Dawson, NE(7)",0570,***,25.3 ,21, 30.3,N/A , 4 , 19,26,rising,6.1 ,3.0, 9.2
"Warren, GA - Glascock, GA(7)",0152,***,25.3 ,14.1, 42.5,N/A , 1 , 41,3,*,*,*,*
"Fremont, CO - Custer, CO(7)",0812,***,25.3 ,20.1, 31.5,N/A , 1 , 10,19,stable,-0.3 ,-2.6, 2.2
"Greene, TN - Cocke, TN(7)",0252,***,25.3 ,21.4, 29.6,N/A , 1 , 14,35,rising,2.6 ,0.4, 4.9
"Wichita (Wichita Falls), TX - Montague, TX(7)",0420,***,25.2 ,22.3, 28.5,N/A , 1 , 4,57,rising,2.0 ,0.4, 3.6
"Orange (Chapel Hill), NC - Harnett, NC(7)",0203,***,25.2 ,23.2, 27.4,N/A , 12 , 24,114,stable,-1.3 ,-3.6, 1.0
"Washtenaw, MI - Livingston, MI(7)",0831,***,25.2 ,23.4, 27.1,N/A , 2 , 9,151,stable,-0.6 ,-1.9, 0.7
"Winnebago (Rockford), IL - Ogle, IL(7)",0291,***,25.2 ,23.2, 27.3,N/A , 10 , 27,128,rising,3.1 ,1.5, 4.8
"Camden (Camden), NJ - Burlington, NJ(7)",0023,***,25.2 ,24.1, 26.4,N/A , 5 , 5,397,stable,0.7 ,-0.2, 1.5
"Lucas, IA - Wayne, IA(7)",0645,***,25.2 ,15.3, 39.2,N/A , 4 , 33,5,*,*,*,*
"Platte, NE - Boone, NE(7)",0651,***,25.1 ,19, 32.6,N/A , 3 , 21,13,rising,5.6 ,1.7, 9.6
"Alameda (Oakland), CA - Contra Costa, CA(7)",0766,***,25.1 ,24.3, 25.9,N/A , 13 , 19,778,stable,-0.6 ,-4.7, 3.6
"Kankakee (Kankakee), IL - Iroquois, IL(7)",0343,***,25.1 ,21.7, 28.9,N/A , 6 , 30,41,rising,4.0 ,1.8, 6.3
"Winnebago (Oshkosh), WI - Fond du Lac, WI(7)",0306,***,25 ,23, 27.2,N/A , 5 , 18,124,stable,-3.1 ,-6.2, 0.1
"Lancaster (Lincoln), NE - Gage, NE(7)",0561,***,25 ,22.8, 27.4,N/A , 6 , 18,97,stable,1.5 ,-0.4, 3.3
"Pierce, WA(7)",0794,***,25 ,23.5, 26.5,N/A , 4 , 8,229,rising,2.2 ,1.7, 2.7
"Cabell (Huntington), WV - Wayne, WV(7)",0867,***,25 ,21.8, 28.5,N/A , 1 , 10,47,stable,2.1 ,0.0, 4.3
"New Castle (Wilmington), DE(7)",0075,***,25 ,23.2, 26.8,N/A , N/A , N/A,159,stable,-0.6 ,-2.3, 1.1
"Cambria, PA - Blair (Altoona), PA(7)",0057,***,24.9 ,22.8, 27,N/A , 4 , 17,126,rising,3.1 ,1.6, 4.7
"Lauderdale (Florence), AL - Colbert, AL(7)",0219,***,24.8 ,22, 27.9,N/A , 2 , 9,63,stable,2.3 ,-1.3, 6.1
"Grant, WA - Chelan, WA(7)",0747,***,24.8 ,22.3, 27.6,N/A , 4 , 8,74,rising,2.0 ,0.2, 3.8
"Webster, IA - Humboldt, IA(7)",0585,***,24.8 ,19.7, 30.9,N/A , 10 , 33,18,rising,3.5 ,2.1, 4.8
"Currituck, NC(7)",0006,***,24.8 ,16.9, 35.2,N/A , 1 , 31,7,stable,0.1 ,-4.4, 4.8
"Clark, WA - Cowlitz, WA(7)",0960,***,24.7 ,23, 26.5,N/A , 4 , 8,165,falling,-1.6 ,-2.9, -0.4
"Bibb (Macon), GA - Houston, GA(7)",0193,***,24.7 ,22.8, 26.8,N/A , 10 , 22,125,stable,2.7 ,-11.5, 19.2
"Whiteside, IL - Carroll, IL(7)",0361,***,24.7 ,20.2, 30,N/A , 4 , 32,24,rising,3.2 ,0.5, 5.9
"Marion (Salem), OR - Yamhill, OR(7)",0705,***,24.7 ,22.9, 26.6,N/A , 4 , 5,148,stable,0.1 ,-1.4, 1.6
"Fairfield (Lancaster), OH - Athens, OH(7)",0368,***,24.7 ,22.1, 27.5,N/A , 4 , 26,71,stable,1.4 ,-1.0, 3.8
"Roanoke City, VA - Roanoke, VA(7)",0014,***,24.7 ,22.9, 26.5,N/A , 5 , 9,161,rising,3.2 ,1.9, 4.6
"Nez Perce, ID - Idaho, ID(7)",0694,***,24.6 ,20.2, 29.9,N/A , 4 , 10,24,rising,2.7 ,1.1, 4.4
"Story, IA - Boone, IA(7)",0606,***,24.6 ,21.3, 28.3,N/A , 13 , 31,44,rising,2.0 ,1.1, 3.0
"Knox, IL - Warren, IL(7)",0324,***,24.6 ,20, 30.1,N/A , 4 , 32,22,stable,2.2 ,0.0, 4.5
"Beadle, SD - Hand, SD(7)",0600,***,24.6 ,17.1, 34.4,N/A , 1 , 12,8,*,*,*,*
"Lassen, CA - Plumas, CA(7)",0780,***,24.6 ,19.4, 30.9,N/A , 8 , 27,17,rising,3.5 ,1.2, 6.0
"Chatham (Savannah), GA - Liberty, GA(7)",0143,***,24.6 ,22.6, 26.6,N/A , 10 , 22,124,rising,4.6 ,3.0, 6.3
"Stephens, GA - Hart, GA(7)",0216,***,24.6 ,20.2, 29.6,N/A , 7 , 33,24,stable,-10.9 ,-21.5, 1.3
"St. Charles (St. Charles), MO - Lincoln, MO(7)",0599,***,24.5 ,22.7, 26.6,N/A , 1 , 5,132,stable,0.8 ,-1.0, 2.6
"Hall, NE - Hamilton, NE(7)",0555,***,24.5 ,20.3, 29.4,N/A , 4 , 20,25,rising,6.2 ,3.4, 8.9
"Ward, ND - Bottineau, ND(7)",0550,***,24.5 ,20.2, 29.6,N/A , 2 , 5,24,stable,2.9 ,-0.7, 6.7
"Allen (Lima), OH - Auglaize, OH(7)",0292,***,24.5 ,22.1, 27.1,N/A , 5 , 26,83,rising,1.8 ,0.7, 3.0
"Lyon, IA(7)",0544,***,24.5 ,13.9, 40.2,N/A , 3 , 33,4,*,*,*,*
"Kanawha (Charleston), WV - Putnam, WV(7)",0007,***,24.5 ,22.3, 26.9,N/A , 1 , 9,98,stable,-2.9 ,-6.6, 0.9
"Santa Clara (San Jose), CA - Monterey, CA(7)",0751,***,24.5 ,23.6, 25.4,N/A , 14 , 20,623,rising,2.9 ,2.3, 3.4
"Sheridan, WY - Johnson, WY(7)",0770,***,24.5 ,18.9, 31.5,N/A , 2 , 10,14,falling,-17.9 ,-29.9, -3.9
"Laramie (Cheyenne), WY(7)",0971,***,24.5 ,20.4, 29.1,N/A , 2 , 10,27,rising,2.8 ,0.1, 5.6
"Grant, IN - Miami, IN(7)",0389,***,24.5 ,21.1, 28.2,N/A , 4 , 21,41,rising,2.6 ,0.3, 5.0
"Allen (Fort Wayne), IN - Noble, IN(7)",0304,***,24.4 ,22.7, 26.3,N/A , 6 , 16,153,rising,3.6 ,2.0, 5.2
"Lycoming (Williamsport), PA - Clinton, PA(7)",0044,***,24.4 ,21.3, 27.9,N/A , 3 , 21,48,rising,2.3 ,0.1, 4.6
"Wasco, OR - Hood River, OR(7)",0748,***,24.4 ,19.2, 30.7,N/A , 3 , 9,16,stable,-0.3 ,-3.1, 2.5
"Laurel, KY - Whitley, KY(7)",0051,***,24.4 ,21.1, 28,N/A , 10 , 29,42,rising,3.1 ,1.5, 4.7
"Allegheny (Pittsburgh), PA - Westmoreland, PA(7)",0042,***,24.3 ,23.5, 25.3,N/A , 6 , 15,644,falling,-11.9 ,-15.3, -8.3
"Pope, AR - Yell, AR(7)",0442,***,24.3 ,19.9, 29.3,N/A , 1 , 13,23,rising,5.2 ,2.0, 8.6
"Albany, WY - Carbon, WY(7)",0975,***,24.3 ,18.5, 31.3,N/A , 2 , 11,13,stable,2.9 ,-1.1, 7.1
"Pulaski, KY - Wayne, KY(7)",0037,***,24.2 ,20.4, 28.6,N/A , 8 , 30,31,stable,0.0 ,-1.9, 1.9
"Racine (Racine), WI - Kenosha, WI(7)",0382,***,24.2 ,22.1, 26.5,N/A , 6 , 19,101,rising,5.5 ,3.0, 8.0
"Suffolk, NY - Nassau, NY(7)",0083,***,24.2 ,23.5, 25,N/A , 6 , 12,870,stable,-1.2 ,-2.5, 0.1
"Richland, IL - Clay, IL(7)",0351,***,24.2 ,18.6, 31.1,N/A , 3 , 33,14,stable,2.1 ,-0.4, 4.6
"Mineral, WV - Hardy, WV(7)",0851,***,24.1 ,18.9, 30.4,N/A , 1 , 14,17,rising,3.4 ,0.4, 6.6
"Madison, MO(7)",0663,***,24.1 ,13.5, 39.8,N/A , 1 , 22,3,*,*,*,*
"Upson, GA - Lamar, GA(7)",0269,***,24.1 ,19.1, 30,N/A , 7 , 36,17,rising,3.7 ,1.2, 6.3
"Tompkins, NY - Cortland, NY(7)",0105,***,24.1 ,20.7, 28,N/A , 3 , 16,38,rising,2.6 ,0.3, 5.0
"Juneau, WI - Adams, WI(7)",0391,***,24 ,18.8, 30.4,N/A , 1 , 24,17,rising,4.7 ,1.8, 7.6
"Steuben, NY - Chemung (Elmira), NY(7)",0065,***,24 ,21.2, 27,N/A , 4 , 15,60,rising,1.6 ,0.4, 2.8
"San Francisco (San Francisco), CA - San Mateo, CA(7)",0757,***,24 ,23, 25,N/A , 15 , 21,463,stable,1.3 ,-0.1, 2.8
"Saratoga, NY - Schenectady (Schenectady), NY(7)",0088,***,23.9 ,22.2, 25.7,N/A , 5 , 13,158,stable,1.0 ,-0.7, 2.9
"Jackson (Jackson), MI - Lenawee, MI(7)",0375,***,23.9 ,21.8, 26.2,N/A , 2 , 12,99,rising,1.8 ,0.6, 3.1
"Sweetwater, WY(7)",0977,***,23.9 ,17.6, 31.7,N/A , 2 , 11,10,stable,-2.0 ,-6.1, 2.3
"Wexford, MI - Osceola, MI(7)",0317,***,23.9 ,19.7, 28.8,N/A , 2 , 20,26,stable,1.7 ,-1.3, 4.9
"Ouachita (Monroe), LA - Morehouse, LA(7)",0443,***,23.9 ,21.3, 26.7,N/A , 2 , 5,66,rising,2.9 ,1.4, 4.4
"Belmont, OH - Monroe, OH(7)",0024,***,23.9 ,19.8, 28.7,N/A , 2 , 28,26,stable,25.8 ,-3.8, 64.4
"White, IL - Hamilton, IL(7)",0383,***,23.9 ,16.4, 33.9,N/A , 1 , 33,7,*,*,*,*
"Pike, KY(7)",0013,***,23.9 ,18.9, 29.7,N/A , 6 , 30,18,rising,1.8 ,0.3, 3.4
"Polk (Des Moines), IA - Dallas, IA(7)",0546,***,23.9 ,22.3, 25.5,N/A , 18 , 30,186,rising,2.9 ,2.4, 3.4
"Sebastian (Fort Smith), AR - Crawford, AR(7)",0421,***,23.8 ,21.2, 26.6,N/A , 1 , 11,65,rising,5.3 ,3.0, 7.6
"Lincoln, NE - Keith, NE(7)",0593,***,23.7 ,18.5, 30.1,N/A , 4 , 21,16,stable,3.2 ,-0.1, 6.6
"St. Clair (Port Huron), MI - Sanilac, MI(7)",0297,***,23.7 ,21, 26.8,N/A , 2 , 14,60,rising,1.8 ,0.9, 2.8
"Marion (Indianapolis), IN - Johnson, IN(7)",0275,***,23.7 ,22.6, 24.9,N/A , 7 , 17,352,stable,0.9 ,-9.6, 12.5
"Lucas (Toledo), OH - Wood, OH(7)",0903,***,23.7 ,22.2, 25.4,N/A , 10 , 25,180,rising,1.6 ,0.3, 2.9
"Boone, AR - Carroll, AR(7)",0494,***,23.7 ,19.6, 28.5,N/A , 1 , 13,26,stable,3.2 ,-0.1, 6.6
"Centre (State College), PA - Clearfield, PA(7)",0026,***,23.7 ,21.3, 26.2,N/A , 5 , 20,80,rising,2.0 ,0.4, 3.6
"Whatcom, WA(7)",0815,***,23.7 ,21, 26.6,N/A , 4 , 8,60,falling,-5.5 ,-7.9, -3.0
"Charleston (Charleston), SC - Berkeley, SC(7)",0212,***,23.6 ,22.1, 25.1,N/A , 3 , 5,213,stable,0.5 ,-0.8, 1.8
"Kalamazoo (Kalamazoo), MI - St. Joseph, MI(7)",0348,***,23.6 ,21.3, 26.1,N/A , 2 , 13,81,stable,8.6 ,-0.1, 18.0
"Kennebec, ME - Somerset, ME(7)",0038,***,23.6 ,21, 26.4,N/A , 4 , 4,66,stable,2.1 ,-0.2, 4.6
"Woodward, OK - Dewey, OK(7)",0469,***,23.6 ,17, 31.8,N/A , 1 , 22,9,stable,0.3 ,-5.4, 6.4
"El Paso (Colorado Springs), CO - Teller, CO(7)",0754,***,23.6 ,22, 25.2,N/A , 3 , 8,174,falling,-11.6 ,-20.8, -1.3
"Chippewa, MI - Emmet, MI(7)",0294,***,23.5 ,20.3, 27.2,N/A , 2 , 17,44,stable,-0.8 ,-4.0, 2.6
"Solano (Vallejo), CA - Napa, CA(7)",0746,***,23.5 ,22, 25.2,N/A , 15 , 21,183,stable,-1.6 ,-4.1, 1.0
"Lehigh (Allentown), PA - Northampton, PA(7)",0084,***,23.5 ,22.2, 24.8,N/A , 7 , 18,267,stable,-6.5 ,-12.8, 0.3
