
	Screening and Risk Factors Report for United States by County
(2008-2010 County Level Modeled Estimate Combining BRFSS & NHIS)

Ever Smoked
"All Races (includes Hispanic), Both Sexes, Ages 18+"
Healthy People 2020 Objective Number: n/a

Sorted by Percent

County, FIPS,Met Objective?(1),"Model-Based Percent(3)","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Roane County, West Virginia",54087,n/a,56.1 ,46.7, 65.5
"Sharp County, Arkansas",05135,n/a,56.1 ,47.4, 64.8
"Adams County, Ohio",39001,n/a,56.0 ,46.3, 65.7
"Butler County, Kentucky",21031,n/a,56.0 ,46.2, 65.8
"Caldwell County, Missouri",29025,n/a,56.0 ,44.9, 67.1
"Clark County, Kentucky",21049,n/a,56.0 ,47.0, 65.1
"Corson County, South Dakota",46031,n/a,56.0 ,43.7, 68.3
"Deer Lodge County, Montana",30023,n/a,56.0 ,46.2, 65.9
"La Paz County, Arizona",04012,n/a,56.0 ,43.9, 68.0
"Lewis County, West Virginia",54041,n/a,56.0 ,46.4, 65.5
"Menominee County, Michigan",26109,n/a,56.0 ,46.6, 65.4
"Missaukee County, Michigan",26113,n/a,56.0 ,45.3, 66.6
"Benton County, Iowa",19011,n/a,55.9 ,45.8, 65.9
"Clinton County, Pennsylvania",42035,n/a,55.9 ,46.9, 64.9
"Gladwin County, Michigan",26051,n/a,55.9 ,46.9, 64.8
"Glascock County, Georgia",13125,n/a,55.9 ,43.9, 67.8
"Grant County, Arkansas",05053,n/a,55.9 ,46.8, 64.9
"Greenwood County, Kansas",20073,n/a,55.9 ,45.7, 66.1
"Kimball County, Nebraska",31105,n/a,55.9 ,44.4, 67.3
"Macon County, Tennessee",47111,n/a,55.9 ,46.8, 65.1
"Mason County, Kentucky",21161,n/a,55.9 ,47.2, 64.6
"Morgan County, West Virginia",54065,n/a,55.9 ,46.8, 65.1
"Pike County, Illinois",17149,n/a,55.9 ,45.2, 66.6
"St. Bernard Parish, Louisiana",22087,n/a,55.9 ,44.4, 67.3
"Woodford County, Illinois",17203,n/a,55.9 ,46.6, 65.2
"Woodruff County, Arkansas",05147,n/a,55.9 ,45.2, 66.5
"Dallas County, Missouri",29059,n/a,55.8 ,45.7, 65.8
"Fayette County, Alabama",01057,n/a,55.8 ,45.7, 65.9
"Greene County, Mississippi",28041,n/a,55.8 ,45.0, 66.7
"Lee County, Kentucky",21129,n/a,55.8 ,45.1, 66.5
"Logan County, West Virginia",54045,n/a,55.8 ,47.5, 64.1
"Marshall County, West Virginia",54051,n/a,55.8 ,47.0, 64.5
"Mountrail County, North Dakota",38061,n/a,55.8 ,46.3, 65.4
"Pawnee County, Oklahoma",40117,n/a,55.8 ,46.3, 65.4
"Roanoke City, Virginia",51770,n/a,55.8 ,47.2, 64.4
"Tucker County, West Virginia",54093,n/a,55.8 ,46.0, 65.5
"Wetzel County, West Virginia",54103,n/a,55.8 ,46.5, 65.2
"Williams County, Ohio",39171,n/a,55.8 ,46.6, 64.9
"Hancock County, Georgia",13141,n/a,55.7 ,43.2, 68.2
"Haywood County, North Carolina",37087,n/a,55.7 ,47.4, 64.0
"Hughes County, Oklahoma",40063,n/a,55.7 ,44.9, 66.5
"Kimble County, Texas",48267,n/a,55.7 ,44.4, 66.9
"Mills County, Texas",48333,n/a,55.7 ,44.8, 66.5
"Monroe County, Missouri",29137,n/a,55.7 ,44.8, 66.5
"Presque Isle County, Michigan",26141,n/a,55.7 ,45.7, 65.7
"Shelby County, Illinois",17173,n/a,55.7 ,44.9, 66.6
"Stonewall County, Texas",48433,n/a,55.7 ,41.3, 70.0
"Trimble County, Kentucky",21223,n/a,55.7 ,44.0, 67.3
"Ziebach County, South Dakota",46137,n/a,55.7 ,37.8, 73.5
"Alexander County, Illinois",17003,n/a,55.6 ,44.0, 67.2
"Bear Lake County, Idaho",16007,n/a,55.6 ,44.5, 66.6
"Belknap County, New Hampshire",33001,n/a,55.6 ,47.4, 63.8
"Buena Vista City, Virginia",51530,n/a,55.6 ,43.9, 67.3
"Carter County, Montana",30011,n/a,55.6 ,40.2, 71.0
"Cumberland County, Kentucky",21057,n/a,55.6 ,45.3, 65.8
"Currituck County, North Carolina",37053,n/a,55.6 ,45.7, 65.6
"Forest County, Pennsylvania",42053,n/a,55.6 ,44.1, 67.1
"Grand Isle County, Vermont",50013,n/a,55.6 ,45.3, 65.9
"Larue County, Kentucky",21123,n/a,55.6 ,46.2, 65.0
"Luce County, Michigan",26095,n/a,55.6 ,44.3, 66.8
"Mercer County, North Dakota",38057,n/a,55.6 ,44.7, 66.6
"Morton County, Kansas",20129,n/a,55.6 ,43.7, 67.5
"Somerset County, Pennsylvania",42111,n/a,55.6 ,46.8, 64.4
"Auglaize County, Ohio",39011,n/a,55.5 ,47.1, 63.8
"Benewah County, Idaho",16009,n/a,55.5 ,46.3, 64.7
"Carson City, Nevada",32510,n/a,55.5 ,46.7, 64.4
"Carter County, Missouri",29035,n/a,55.5 ,44.8, 66.1
"Cottle County, Texas",48101,n/a,55.5 ,42.4, 68.6
"Crawford County, Missouri",29055,n/a,55.5 ,45.7, 65.3
"Gilchrist County, Florida",12041,n/a,55.5 ,44.3, 66.7
"Gilliam County, Oregon",41021,n/a,55.5 ,42.2, 68.8
"Orange County, Indiana",18117,n/a,55.5 ,47.0, 64.1
"Preston County, West Virginia",54077,n/a,55.5 ,46.5, 64.4
"Sioux County, North Dakota",38085,n/a,55.5 ,41.9, 69.1
"Trigg County, Kentucky",21221,n/a,55.5 ,46.6, 64.3
"Avery County, North Carolina",37011,n/a,55.4 ,45.6, 65.2
"Brown County, Ohio",39015,n/a,55.4 ,46.2, 64.5
"Clare County, Michigan",26035,n/a,55.4 ,45.9, 64.8
"Coos County, New Hampshire",33007,n/a,55.4 ,46.3, 64.6
"Grant County, South Dakota",46051,n/a,55.4 ,44.6, 66.3
"Greene County, Tennessee",47059,n/a,55.4 ,46.2, 64.6
"Logan County, Arkansas",05083,n/a,55.4 ,46.2, 64.6
"Logan County, Ohio",39091,n/a,55.4 ,46.3, 64.4
"Macon County, Georgia",13193,n/a,55.4 ,44.5, 66.2
"Mayes County, Oklahoma",40097,n/a,55.4 ,46.8, 64.0
"McCook County, South Dakota",46087,n/a,55.4 ,44.3, 66.5
"Mercer County, Kentucky",21167,n/a,55.4 ,46.2, 64.5
"Noble County, Ohio",39121,n/a,55.4 ,44.4, 66.5
"Page County, Iowa",19145,n/a,55.4 ,45.7, 65.1
"Pleasants County, West Virginia",54073,n/a,55.4 ,45.1, 65.7
"Rains County, Texas",48379,n/a,55.4 ,44.8, 65.9
"Clarke County, Iowa",19039,n/a,55.3 ,44.9, 65.7
"Grant County, Oregon",41023,n/a,55.3 ,44.5, 66.2
"Green Lake County, Wisconsin",55047,n/a,55.3 ,46.1, 64.5
"Greene County, Indiana",18055,n/a,55.3 ,45.7, 64.9
"Marion County, Tennessee",47115,n/a,55.3 ,46.0, 64.7
"Massac County, Illinois",17127,n/a,55.3 ,45.3, 65.2
"Metcalfe County, Kentucky",21169,n/a,55.3 ,45.4, 65.2
"Nicholas County, West Virginia",54067,n/a,55.3 ,45.9, 64.8
"Sagadahoc County, Maine",23023,n/a,55.3 ,46.0, 64.7
"Taney County, Missouri",29213,n/a,55.3 ,46.0, 64.6
"Trinity County, California",06105,n/a,55.3 ,44.4, 66.2
"Ashe County, North Carolina",37009,n/a,55.2 ,46.1, 64.3
"Bath County, Kentucky",21011,n/a,55.2 ,46.1, 64.3
"Callahan County, Texas",48059,n/a,55.2 ,46.3, 64.1
"Jefferson County, Illinois",17081,n/a,55.2 ,45.5, 64.8
"Laurel County, Kentucky",21125,n/a,55.2 ,47.4, 62.9
"Livingston County, Kentucky",21139,n/a,55.2 ,45.0, 65.4
"Renville County, North Dakota",38075,n/a,55.2 ,44.7, 65.7
"Stone County, Missouri",29209,n/a,55.2 ,45.8, 64.5
"Brooke County, West Virginia",54009,n/a,55.1 ,45.2, 65.0
"Clarion County, Pennsylvania",42031,n/a,55.1 ,45.9, 64.4
"Coos County, Oregon",41011,n/a,55.1 ,46.5, 63.7
"Dickens County, Texas",48125,n/a,55.1 ,43.3, 67.0
"Muskingum County, Ohio",39119,n/a,55.1 ,47.7, 62.5
"Ottawa County, Oklahoma",40115,n/a,55.1 ,46.5, 63.7
"Ray County, Missouri",29177,n/a,55.1 ,45.8, 64.3
"Sullivan County, Indiana",18153,n/a,55.1 ,45.4, 64.7
"Butte County, South Dakota",46019,n/a,55.0 ,44.8, 65.2
"Custer County, Montana",30017,n/a,55.0 ,44.3, 65.7
"Dade County, Georgia",13083,n/a,55.0 ,45.2, 64.8
"Franklin County, Georgia",13119,n/a,55.0 ,45.4, 64.5
"Hancock County, Maine",23009,n/a,55.0 ,46.3, 63.8
"Hardin County, Ohio",39065,n/a,55.0 ,45.7, 64.2
"Henry County, Indiana",18065,n/a,55.0 ,46.8, 63.2
"Hocking County, Ohio",39073,n/a,55.0 ,46.1, 64.0
"Jefferson County, Indiana",18077,n/a,55.0 ,46.2, 63.8
"Knox County, Maine",23013,n/a,55.0 ,46.4, 63.6
"Monroe County, Kentucky",21171,n/a,55.0 ,45.4, 64.6
"Ottawa County, Kansas",20143,n/a,55.0 ,45.0, 64.9
"Poinsett County, Arkansas",05111,n/a,55.0 ,44.9, 65.0
"Scott County, Virginia",51169,n/a,55.0 ,46.0, 64.0
"Towns County, Georgia",13281,n/a,55.0 ,44.5, 65.4
"Tuscarawas County, Ohio",39157,n/a,55.0 ,46.3, 63.6
"Union County, Indiana",18161,n/a,55.0 ,45.3, 64.7
"Van Buren County, Tennessee",47175,n/a,55.0 ,44.3, 65.7
"Anderson County, Kentucky",21005,n/a,54.9 ,45.4, 64.3
"Chase County, Nebraska",31029,n/a,54.9 ,44.0, 65.7
"Fillmore County, Nebraska",31059,n/a,54.9 ,44.1, 65.6
"Giles County, Virginia",51071,n/a,54.9 ,45.2, 64.7
"Hardin County, Tennessee",47071,n/a,54.9 ,45.6, 64.3
"Lebanon County, Pennsylvania",42075,n/a,54.9 ,47.4, 62.3
"Morgan County, Missouri",29141,n/a,54.9 ,45.5, 64.4
"Oxford County, Maine",23017,n/a,54.9 ,48.5, 61.2
"Prentiss County, Mississippi",28117,n/a,54.9 ,46.7, 63.2
"Sanilac County, Michigan",26151,n/a,54.9 ,46.0, 63.9
"Wythe County, Virginia",51197,n/a,54.9 ,45.8, 64.0
"Amite County, Mississippi",28005,n/a,54.8 ,44.5, 65.2
"Delta County, Michigan",26041,n/a,54.8 ,45.9, 63.7
"Effingham County, Illinois",17049,n/a,54.8 ,45.2, 64.3
"Gosper County, Nebraska",31073,n/a,54.8 ,41.1, 68.4
"Greene County, Illinois",17061,n/a,54.8 ,44.1, 65.4
"Grundy County, Tennessee",47061,n/a,54.8 ,44.6, 65.0
"Jefferson County, Ohio",39081,n/a,54.8 ,46.2, 63.5
"Lemhi County, Idaho",16059,n/a,54.8 ,44.3, 65.3
"Marion County, Ohio",39101,n/a,54.8 ,47.4, 62.2
"Marshall County, Tennessee",47117,n/a,54.8 ,45.4, 64.3
"Morgan County, Illinois",17137,n/a,54.8 ,45.4, 64.1
"Ripley County, Indiana",18137,n/a,54.8 ,46.1, 63.6
"Stoddard County, Missouri",29207,n/a,54.8 ,47.0, 62.6
"Clark County, Missouri",29045,n/a,54.7 ,43.3, 66.0
"Dodge County, Nebraska",31053,n/a,54.7 ,45.8, 63.6
"Glacier County, Montana",30035,n/a,54.7 ,44.2, 65.2
"Jackson County, Indiana",18071,n/a,54.7 ,45.7, 63.7
"Liberty County, Montana",30051,n/a,54.7 ,42.0, 67.3
"Linn County, Missouri",29115,n/a,54.7 ,44.9, 64.6
"Meagher County, Montana",30059,n/a,54.7 ,43.2, 66.2
"Sequoyah County, Oklahoma",40135,n/a,54.7 ,45.5, 64.0
"Sullivan County, Missouri",29211,n/a,54.7 ,44.3, 65.1
"Wise County, Texas",48497,n/a,54.7 ,45.4, 63.9
"Clearwater County, Idaho",16035,n/a,54.6 ,44.8, 64.3
"Crawford County, Wisconsin",55023,n/a,54.6 ,46.3, 62.8
"Fulton County, Arkansas",05049,n/a,54.6 ,45.8, 63.5
"Mecklenburg County, Virginia",51117,n/a,54.6 ,45.8, 63.4
"Sierra County, California",06091,n/a,54.6 ,42.5, 66.7
"Craig County, Oklahoma",40035,n/a,54.5 ,45.4, 63.6
"Donley County, Texas",48129,n/a,54.5 ,42.6, 66.3
"Guthrie County, Iowa",19077,n/a,54.5 ,44.0, 65.0
"Silver Bow County, Montana",30093,n/a,54.5 ,45.2, 63.7
"Warren County, Illinois",17187,n/a,54.5 ,42.9, 66.0
"Wayne County, Kentucky",21231,n/a,54.5 ,45.1, 63.9
"Alleghany County, North Carolina",37005,n/a,54.4 ,45.1, 63.7
"Ashtabula County, Ohio",39007,n/a,54.4 ,45.7, 63.1
"Brown County, Illinois",17009,n/a,54.4 ,41.8, 67.0
"Bullitt County, Kentucky",21029,n/a,54.4 ,45.1, 63.8
"Crawford County, Ohio",39033,n/a,54.4 ,45.2, 63.5
"Inyo County, California",06027,n/a,54.4 ,44.4, 64.4
"Lycoming County, Pennsylvania",42081,n/a,54.4 ,47.3, 61.4
"Taylor County, Georgia",13269,n/a,54.4 ,43.4, 65.4
"Washington County, Virginia",51191,n/a,54.4 ,46.4, 62.5
"Wilcox County, Georgia",13315,n/a,54.4 ,42.8, 66.0
"Ashland County, Wisconsin",55003,n/a,54.3 ,45.2, 63.4
"Baraga County, Michigan",26013,n/a,54.3 ,43.5, 65.1
"Carroll County, Tennessee",47017,n/a,54.3 ,45.6, 62.9
"Cayuga County, New York",36011,n/a,54.3 ,46.0, 62.5
"Clay County, Illinois",17025,n/a,54.3 ,44.5, 64.1
"Hettinger County, North Dakota",38041,n/a,54.3 ,42.7, 65.8
"Itawamba County, Mississippi",28057,n/a,54.3 ,45.5, 63.0
"Lawrence County, Tennessee",47099,n/a,54.3 ,45.2, 63.4
"Lincoln County, Oklahoma",40081,n/a,54.3 ,44.9, 63.7
"Lincoln County, West Virginia",54043,n/a,54.3 ,44.8, 63.8
"Oneida County, Wisconsin",55085,n/a,54.3 ,45.1, 63.5
"Palo Alto County, Iowa",19147,n/a,54.3 ,44.5, 64.0
"St. Francois County, Missouri",29187,n/a,54.3 ,45.6, 63.0
"Susquehanna County, Pennsylvania",42115,n/a,54.3 ,45.1, 63.6
"Todd County, South Dakota",46121,n/a,54.3 ,37.4, 71.1
"Whitley County, Indiana",18183,n/a,54.3 ,44.9, 63.6
"Alpena County, Michigan",26007,n/a,54.2 ,45.0, 63.4
"Cleburne County, Arkansas",05023,n/a,54.2 ,45.0, 63.3
"Deuel County, Nebraska",31049,n/a,54.2 ,42.2, 66.2
"Furnas County, Nebraska",31065,n/a,54.2 ,44.3, 64.0
"Hancock County, Mississippi",28045,n/a,54.2 ,45.6, 62.9
"Hickory County, Missouri",29085,n/a,54.2 ,43.6, 64.8
"Howell County, Missouri",29091,n/a,54.2 ,45.3, 63.1
"Huron County, Michigan",26063,n/a,54.2 ,46.7, 61.7
"Jasper County, Illinois",17079,n/a,54.2 ,43.4, 65.0
"Morgan County, Kentucky",21175,n/a,54.2 ,43.7, 64.7
"Rhea County, Tennessee",47143,n/a,54.2 ,44.6, 63.7
"Smyth County, Virginia",51173,n/a,54.2 ,44.5, 63.8
"Van Buren County, Arkansas",05141,n/a,54.2 ,44.4, 64.0
"Armstrong County, Pennsylvania",42005,n/a,54.1 ,46.4, 61.8
"Baxter County, Arkansas",05005,n/a,54.1 ,45.0, 63.3
"Calhoun County, Florida",12013,n/a,54.1 ,44.5, 63.8
"Crawford County, Michigan",26039,n/a,54.1 ,44.7, 63.4
"Douglas County, Wisconsin",55031,n/a,54.1 ,45.3, 63.0
"Henry County, Iowa",19087,n/a,54.1 ,44.4, 63.8
"Howard County, Texas",48227,n/a,54.1 ,43.4, 64.9
"Letcher County, Kentucky",21133,n/a,54.1 ,44.3, 63.8
"Norton County, Kansas",20137,n/a,54.1 ,42.7, 65.5
"Obion County, Tennessee",47131,n/a,54.1 ,45.3, 62.9
"Otsego County, New York",36077,n/a,54.1 ,45.0, 63.1
"Rich County, Utah",49033,n/a,54.1 ,39.5, 68.8
"Scott County, Illinois",17171,n/a,54.1 ,43.0, 65.2
"Waupaca County, Wisconsin",55135,n/a,54.1 ,44.7, 63.4
"Butler County, Missouri",29023,n/a,54.0 ,45.6, 62.5
"Cass County, Nebraska",31025,n/a,54.0 ,45.1, 62.9
"Charlevoix County, Michigan",26029,n/a,54.0 ,44.8, 63.2
"Cherokee County, Alabama",01019,n/a,54.0 ,44.5, 63.4
"Clay County, West Virginia",54015,n/a,54.0 ,43.5, 64.5
"Columbia County, Pennsylvania",42037,n/a,54.0 ,45.4, 62.6
"Harrison County, Ohio",39067,n/a,54.0 ,43.8, 64.1
"Jasper County, Indiana",18073,n/a,54.0 ,45.3, 62.6
"Overton County, Tennessee",47133,n/a,54.0 ,45.3, 62.7
"Randolph County, Arkansas",05121,n/a,54.0 ,44.4, 63.5
"Sequatchie County, Tennessee",47153,n/a,54.0 ,43.7, 64.3
"Stanton County, Nebraska",31167,n/a,54.0 ,42.0, 66.0
"Tipton County, Indiana",18159,n/a,54.0 ,44.4, 63.6
"Vanderburgh County, Indiana",18163,n/a,54.0 ,46.5, 61.4
"Warren County, New York",36113,n/a,54.0 ,45.4, 62.6
"Wells County, Indiana",18179,n/a,54.0 ,44.9, 63.1
"Allegany County, Maryland",24001,n/a,53.9 ,45.7, 62.2
"Barry County, Michigan",26015,n/a,53.9 ,46.5, 61.3
"Bell County, Kentucky",21013,n/a,53.9 ,44.0, 63.7
"Camas County, Idaho",16025,n/a,53.9 ,39.6, 68.2
"Henry County, Missouri",29083,n/a,53.9 ,44.1, 63.7
"LaMoure County, North Dakota",38045,n/a,53.9 ,42.5, 65.4
"Lafayette County, Missouri",29107,n/a,53.9 ,45.4, 62.5
"Lucas County, Iowa",19117,n/a,53.9 ,43.8, 64.0
"Macon County, North Carolina",37113,n/a,53.9 ,44.9, 62.8
"Mason County, West Virginia",54053,n/a,53.9 ,44.4, 63.4
"Phelps County, Nebraska",31137,n/a,53.9 ,44.3, 63.6
"Phillips County, Kansas",20147,n/a,53.9 ,43.6, 64.1
"Shackelford County, Texas",48417,n/a,53.9 ,41.6, 66.3
"Spencer County, Indiana",18147,n/a,53.9 ,44.6, 63.1
"Texas County, Missouri",29215,n/a,53.9 ,46.4, 61.4
"Carter County, Oklahoma",40019,n/a,53.8 ,45.2, 62.3
"Clinton County, Ohio",39027,n/a,53.8 ,44.4, 63.1
"Crawford County, Indiana",18025,n/a,53.8 ,43.2, 64.5
"Cumberland County, Maine",23005,n/a,53.8 ,48.1, 59.6
"Erie County, Ohio",39043,n/a,53.8 ,45.1, 62.4
"Fentress County, Tennessee",47049,n/a,53.8 ,44.4, 63.1
"Hampshire County, West Virginia",54027,n/a,53.8 ,44.8, 62.9
"Jackson County, Iowa",19097,n/a,53.8 ,43.7, 63.8
"Lac qui Parle County, Minnesota",27073,n/a,53.8 ,43.4, 64.1
"Lincoln County, Arkansas",05079,n/a,53.8 ,41.2, 66.4
"Lincoln County, Montana",30053,n/a,53.8 ,47.8, 59.8
"Pope County, Illinois",17151,n/a,53.8 ,42.8, 64.8
"Posey County, Indiana",18129,n/a,53.8 ,44.9, 62.6
"Richmond County, Virginia",51159,n/a,53.8 ,43.1, 64.5
"Union County, Illinois",17181,n/a,53.8 ,44.8, 62.8
"Valley County, Montana",30105,n/a,53.8 ,43.6, 64.0
"Ware County, Georgia",13299,n/a,53.8 ,44.4, 63.2
"Alpine County, California",06003,n/a,53.7 ,38.0, 69.4
"Anderson County, Kansas",20003,n/a,53.7 ,43.4, 63.9
"Dyer County, Tennessee",47045,n/a,53.7 ,44.9, 62.4
"Forest County, Wisconsin",55041,n/a,53.7 ,43.7, 63.8
"Foster County, North Dakota",38031,n/a,53.7 ,43.2, 64.2
"Huron County, Ohio",39077,n/a,53.7 ,44.8, 62.6
"Jackson County, Tennessee",47087,n/a,53.7 ,43.1, 64.2
"Knox County, Kentucky",21121,n/a,53.7 ,43.5, 63.9
"La Salle Parish, Louisiana",22059,n/a,53.7 ,44.0, 63.4
"Lake County, South Dakota",46079,n/a,53.7 ,44.0, 63.3
"Lake County, Tennessee",47095,n/a,53.7 ,41.8, 65.6
"Live Oak County, Texas",48297,n/a,53.7 ,42.0, 65.3
"Logan County, Kentucky",21141,n/a,53.7 ,44.8, 62.7
"Louisa County, Iowa",19115,n/a,53.7 ,43.6, 63.8
"Okmulgee County, Oklahoma",40111,n/a,53.7 ,44.6, 62.7
"Richardson County, Nebraska",31147,n/a,53.7 ,44.7, 62.6
"Russell County, Kansas",20167,n/a,53.7 ,43.5, 63.9
"Schoharie County, New York",36095,n/a,53.7 ,44.6, 62.9
"Cass County, Indiana",18017,n/a,53.6 ,44.7, 62.5
"Franklin County, Florida",12037,n/a,53.6 ,44.2, 63.0
"Galax City, Virginia",51640,n/a,53.6 ,41.0, 66.1
"Greeley County, Kansas",20071,n/a,53.6 ,37.9, 69.3
"Kittson County, Minnesota",27069,n/a,53.6 ,42.3, 64.9
"Lawrence County, Illinois",17101,n/a,53.6 ,42.8, 64.4
"Lincoln County, Kentucky",21137,n/a,53.6 ,44.6, 62.6
"Manistee County, Michigan",26101,n/a,53.6 ,44.9, 62.4
"Perry County, Arkansas",05105,n/a,53.6 ,43.3, 63.8
"Steuben County, Indiana",18151,n/a,53.6 ,44.7, 62.5
"Wheeler County, Texas",48483,n/a,53.6 ,42.1, 65.1
"Baker County, Oregon",41001,n/a,53.5 ,44.2, 62.7
"Blair County, Pennsylvania",42013,n/a,53.5 ,44.6, 62.3
"Collingsworth County, Texas",48087,n/a,53.5 ,38.9, 68.1
"Dunklin County, Missouri",29069,n/a,53.5 ,44.3, 62.8
"Greenbrier County, West Virginia",54025,n/a,53.5 ,44.4, 62.5
"Nance County, Nebraska",31125,n/a,53.5 ,41.8, 65.2
"Owen County, Kentucky",21187,n/a,53.5 ,43.7, 63.2
"Pearl River County, Mississippi",28109,n/a,53.5 ,44.9, 62.1
"Scott County, Tennessee",47151,n/a,53.5 ,43.8, 63.3
"Sheridan County, Wyoming",56033,n/a,53.5 ,43.9, 63.1
"Starke County, Indiana",18149,n/a,53.5 ,44.1, 62.8
"Sumner County, Kansas",20191,n/a,53.5 ,44.5, 62.6
"Trempealeau County, Wisconsin",55121,n/a,53.5 ,43.3, 63.5
"Warrick County, Indiana",18173,n/a,53.5 ,44.8, 62.1
"Wheatland County, Montana",30107,n/a,53.5 ,37.9, 69.2
"Amador County, California",06005,n/a,53.4 ,43.9, 62.8
"Crockett County, Tennessee",47033,n/a,53.4 ,43.3, 63.4
"Delaware County, New York",36025,n/a,53.4 ,44.6, 62.1
"Fayette County, Iowa",19065,n/a,53.4 ,44.5, 62.4
"Giles County, Tennessee",47055,n/a,53.4 ,44.4, 62.3
"Granite County, Montana",30039,n/a,53.4 ,38.6, 68.1
"Harrison County, Kentucky",21097,n/a,53.4 ,44.0, 62.8
"Lanier County, Georgia",13173,n/a,53.4 ,41.5, 65.3
"Niobrara County, Wyoming",56027,n/a,53.4 ,41.6, 65.2
"Pulaski County, Indiana",18131,n/a,53.4 ,44.0, 62.8
"Ramsey County, North Dakota",38071,n/a,53.4 ,44.6, 62.1
"Van Wert County, Ohio",39161,n/a,53.4 ,44.0, 62.8
"Webster County, Kentucky",21233,n/a,53.4 ,43.7, 63.1
"Webster County, West Virginia",54101,n/a,53.4 ,42.0, 64.7
"Bibb County, Alabama",01007,n/a,53.3 ,42.9, 63.7
"Carbon County, Pennsylvania",42025,n/a,53.3 ,43.9, 62.8
"Clear Creek County, Colorado",08019,n/a,53.3 ,43.3, 63.3
"Cloud County, Kansas",20029,n/a,53.3 ,43.2, 63.5
"Gilmer County, West Virginia",54021,n/a,53.3 ,42.3, 64.3
"Gray County, Kansas",20069,n/a,53.3 ,41.6, 65.0
"Hodgeman County, Kansas",20083,n/a,53.3 ,39.2, 67.4
"Mohave County, Arizona",04015,n/a,53.3 ,45.8, 60.7
"Orleans County, Vermont",50019,n/a,53.3 ,44.6, 61.9
"Pulaski County, Illinois",17153,n/a,53.3 ,41.5, 65.0
"Thurston County, Nebraska",31173,n/a,53.3 ,43.6, 62.9
"Wayne County, New York",36117,n/a,53.3 ,44.4, 62.1
"White County, Indiana",18181,n/a,53.3 ,44.1, 62.5
"Wise County, Virginia",51195,n/a,53.3 ,45.0, 61.6
"Brown County, Texas",48049,n/a,53.2 ,43.9, 62.4
"Caldwell County, Kentucky",21033,n/a,53.2 ,43.6, 62.7
"Grays Harbor County, Washington",53027,n/a,53.2 ,44.8, 61.6
"Harrison County, Indiana",18061,n/a,53.2 ,43.7, 62.6
"Mitchell County, North Carolina",37121,n/a,53.2 ,43.6, 62.9
"Powell County, Montana",30077,n/a,53.2 ,41.6, 64.8
"Winston County, Alabama",01133,n/a,53.2 ,43.5, 62.9
"Woods County, Oklahoma",40151,n/a,53.2 ,41.3, 65.0
"Benton County, Indiana",18007,n/a,53.1 ,42.9, 63.2
"Carson County, Texas",48065,n/a,53.1 ,42.2, 64.0
"Chenango County, New York",36017,n/a,53.1 ,44.7, 61.4
"Clay County, North Carolina",37043,n/a,53.1 ,43.9, 62.3
"Coffee County, Tennessee",47031,n/a,53.1 ,44.3, 62.0
"Converse County, Wyoming",56009,n/a,53.1 ,44.0, 62.2
"Darke County, Ohio",39037,n/a,53.1 ,44.6, 61.5
"Gage County, Nebraska",31067,n/a,53.1 ,44.1, 62.1
"Hopkins County, Kentucky",21107,n/a,53.1 ,44.0, 62.1
"Iron County, Michigan",26071,n/a,53.1 ,43.4, 62.8
"Latimer County, Oklahoma",40077,n/a,53.1 ,43.2, 63.0
"Pawnee County, Nebraska",31133,n/a,53.1 ,43.0, 63.1
"Pennington County, Minnesota",27113,n/a,53.1 ,43.4, 62.7
"Rogers County, Oklahoma",40131,n/a,53.1 ,44.6, 61.5
"Surry County, North Carolina",37171,n/a,53.1 ,44.2, 62.0
"Vernon County, Missouri",29217,n/a,53.1 ,43.2, 63.0
"Whiteside County, Illinois",17195,n/a,53.1 ,44.2, 61.9
"Williams County, North Dakota",38105,n/a,53.1 ,43.9, 62.3
"Alger County, Michigan",26003,n/a,53.0 ,43.3, 62.6
"Buchanan County, Iowa",19019,n/a,53.0 ,43.3, 62.7
"Cabell County, West Virginia",54011,n/a,53.0 ,44.2, 61.8
"Clay County, Arkansas",05021,n/a,53.0 ,42.7, 63.2
"Crane County, Texas",48103,n/a,53.0 ,38.5, 67.6
"Dawson County, Montana",30021,n/a,53.0 ,41.7, 64.3
"Defiance County, Ohio",39039,n/a,53.0 ,43.7, 62.3
"Garfield County, Utah",49017,n/a,53.0 ,40.2, 65.8
"Gentry County, Missouri",29075,n/a,53.0 ,41.8, 64.1
"Gibson County, Tennessee",47053,n/a,53.0 ,45.4, 60.5
"Grayson County, Kentucky",21085,n/a,53.0 ,43.9, 62.1
"Horry County, South Carolina",45051,n/a,53.0 ,45.8, 60.1
"Logan County, North Dakota",38047,n/a,53.0 ,41.3, 64.7
"Polk County, Arkansas",05113,n/a,53.0 ,43.8, 62.1
"Schuyler County, Illinois",17169,n/a,53.0 ,41.5, 64.5
"Union County, Tennessee",47173,n/a,53.0 ,42.8, 63.1
"Waller County, Texas",48473,n/a,53.0 ,42.7, 63.3
"Wilson County, Tennessee",47189,n/a,53.0 ,44.5, 61.5
"Anson County, North Carolina",37007,n/a,52.9 ,43.5, 62.3
"Bacon County, Georgia",13005,n/a,52.9 ,42.6, 63.2
"Boone County, Iowa",19015,n/a,52.9 ,43.1, 62.6
"Cimarron County, Oklahoma",40025,n/a,52.9 ,40.1, 65.8
